game_id,team_id,player_id,player_name,on_pts_for,on_pts_against,on_diff,off_pts_for,off_pts_against,off_diff,on_pts_for_adj,on_pts_against_adj,on_diff_adj,off_pts_for_adj,off_pts_against_adj,off_diff_adj,on_off_diff,on_off_diff_adj,on_diff_reconstructed,off_diff_reconstructed,on_off_diff_reconstructed,minutes_on,date
22500936,1610612755,1641737,Adem Bona,41.0,48.0,-8.0,98.0,81.0,18.0,40.81,43.397,-2.587,97.872,82.702,15.17,-26.0,-17.757,-7.0,17.0,-24.0,15.78,2026-03-10
22500936,1610612755,203083,Andre Drummond,0.0,0.0,0.0,139.0,129.0,10.0,0.0,0.0,0.0,138.682,126.099,12.583,-10.0,-12.583,0.0,10.0,-10.0,0.0,2026-03-10
22500936,1610612755,1626166,Cameron Payne,101.0,78.0,22.0,38.0,51.0,-12.0,91.121,78.203,12.918,47.562,47.896,-0.335,34.0,13.252,23.0,-13.0,36.0,30.23,2026-03-10
22500936,1610612755,1631207,Dalen Terry,80.0,60.0,23.0,59.0,69.0,-13.0,69.923,60.365,9.558,68.759,65.734,3.025,36.0,6.533,20.0,-10.0,30.0,21.97,2026-03-10
22500936,1610612755,1631230,Dominick Barlow,91.0,88.0,4.0,48.0,41.0,6.0,94.895,85.015,9.881,43.787,41.084,2.703,-2.0,7.178,3.0,7.0,-4.0,33.52,2026-03-10
22500936,1610612755,1631133,Jabari Walker,27.0,23.0,5.0,112.0,106.0,5.0,28.866,24.466,4.4,109.817,101.633,8.183,0.0,-3.783,4.0,6.0,-2.0,9.28,2026-03-10
22500936,1610612755,203954,Joel Embiid,0.0,0.0,0.0,139.0,129.0,10.0,0.0,0.0,0.0,138.682,126.099,12.583,-10.0,-12.583,0.0,10.0,-10.0,0.0,2026-03-10
22500936,1610612755,1641780,Johni Broome,0.0,0.0,0.0,139.0,129.0,10.0,0.0,0.0,0.0,138.682,126.099,12.583,-10.0,-12.583,0.0,10.0,-10.0,0.0,2026-03-10
22500936,1610612755,1642348,Justin Edwards,21.0,14.0,6.0,118.0,115.0,4.0,17.571,15.487,2.084,121.111,110.612,10.499,2.0,-8.415,7.0,3.0,4.0,6.1,2026-03-10
22500936,1610612755,1626162,Kelly Oubre Jr.,99.0,100.0,-2.0,40.0,29.0,12.0,104.755,95.085,9.67,33.927,31.014,2.914,-14.0,6.756,-1.0,11.0,-12.0,37.65,2026-03-10
22500936,1610612755,200768,Kyle Lowry,0.0,0.0,0.0,139.0,129.0,10.0,0.0,0.0,0.0,138.682,126.099,12.583,-10.0,-12.583,0.0,10.0,-10.0,0.0,2026-03-10
22500936,1610612755,1630699,MarJon Beauchamp,0.0,0.0,0.0,139.0,129.0,10.0,0.0,0.0,0.0,138.682,126.099,12.583,-10.0,-12.583,0.0,10.0,-10.0,0.0,2026-03-10
22500936,1610612755,202331,Paul George,0.0,0.0,0.0,139.0,129.0,10.0,0.0,0.0,0.0,138.682,126.099,12.583,-10.0,-12.583,0.0,10.0,-10.0,0.0,2026-03-10
22500936,1610612755,1629656,Quentin Grimes,103.0,94.0,11.0,36.0,35.0,-1.0,104.862,96.491,8.371,33.82,29.608,4.212,12.0,4.159,9.0,1.0,8.0,35.48,2026-03-10
