player_name,vorp_prev
A.J. Green,-0.1
A.J. Lawson,-0.1
AJ Johnson,0.0
Aaron Gordon,1.2
Aaron Holiday,0.3
Aaron Nesmith,0.4
Aaron Wiggins,1.4
Adam Flagler,-0.4
Adama Sanogo,0.0
Adem Bona,-0.2
Ajay Mitchell,0.1
Al Horford,1.3
Alec Burks,0.5
Alex Caruso,1.6
Alex Ducas,0.0
Alex Len,0.2
Alex Reese,0.0
Alex Sarr,-0.6
Alondes Williams,0.0
Alperen Şengün,3.9
Amen Thompson,3.4
Amir Coffey,0.1
Andre Drummond,-0.2
Andre Jackson Jr.,-0.3
Andrew Nembhard,-0.1
Andrew Wiggins,1.4
Anfernee Simons,1.1
Anthony Black,0.0
Anthony Davis,3.2
Anthony Edwards,4.6
Anthony Gill,-0.3
Anton Watson,0.0
Antonio Reeves,-0.2
Ariel Hukporti,-0.2
Armel Traoré,-0.1
Ausar Thompson,1.2
Austin Reaves,2.6
Ayo Dosunmu,0.1
Bam Adebayo,2.7
Baylor Scheierman,0.0
Ben Sheppard,0.0
Ben Simmons,0.4
Bennedict Mathurin,-0.5
Bilal Coulibaly,-0.8
Bismack Biyombo,-0.2
Blake Wesley,-0.4
Bobby Portis,0.7
Bobi Klintman,0.0
Bogdan Bogdanović,0.4
Bol Bol,0.3
Bones Hyland,0.3
Bradley Beal,0.4
Branden Carlson,0.2
Brandin Podziemski,1.2
Brandon Boston Jr.,-0.1
Brandon Clarke,0.9
Brandon Ingram,0.3
Brandon Miller,0.4
Brandon Williams,0.4
Braxton Key,0.0
Brice Sensabaugh,0.3
Bronny James,-0.2
Brook Lopez,1.8
Bruce Brown,0.0
Bruno Fernando,0.1
Bryce McGowens,-0.1
Bub Carrington,-1.6
Buddy Hield,0.5
CJ McCollum,0.3
Cade Cunningham,3.7
Caleb Houstan,0.0
Caleb Martin,-0.1
Cam Christie,0.0
Cam Reddish,-0.1
Cam Spencer,0.2
Cam Thomas,0.5
Cam Whitmore,0.5
Cameron Johnson,2.3
Cameron Payne,0.5
Caris LeVert,1.2
Cason Wallace,1.5
Charles Bassey,0.1
Chet Holmgren,1.0
Chris Boucher,0.9
Chris Duarte,0.1
Chris Livingston,-0.1
Chris Paul,1.6
Christian Braun,1.6
Christian Koloko,-0.1
Chuma Okeke,0.1
Clint Capela,0.3
Coby White,0.7
Cody Martin,0.2
Cody Williams,-1.4
Colby Jones,0.0
Cole Anthony,0.7
Cole Swider,-0.1
Colin Castleton,0.0
Collin Gillespie,0.5
Collin Sexton,0.6
Corey Kispert,-0.7
Cory Joseph,0.2
Craig Porter Jr.,0.4
Cui Yongxi,-0.1
D'Angelo Russell,0.6
D.J. Carton,-0.1
DaQuan Jeffries,-0.7
Daeqwon Plowden,0.0
Daishen Nix,0.0
Dalano Banton,0.3
Dalen Terry,-0.5
Dalton Knecht,0.1
Damian Lillard,3.2
Damion Baugh,-0.5
Damion Lee,-0.1
Daniel Gafford,1.8
Daniel Theis,-0.2
Daniss Jenkins,-0.1
Danté Exum,0.0
Dario Šarić,-0.1
Dariq Whitehead,-0.1
Darius Garland,3.0
David Duke Jr.,0.0
David Roddy,0.1
Davion Mitchell,0.3
Day'Ron Sharpe,0.7
De'Aaron Fox,1.3
De'Andre Hunter,1.0
De'Anthony Melton,0.0
DeAndre Jordan,0.2
DeMar DeRozan,1.3
