player_name,Team,G,MP,VORP,BPM,WS,PER,TS%
Amen Thompson,HOU,78.0,2911.0,3.3,2.5,9.9,18.6,0.589
Kevin Durant,HOU,77.0,2801.0,4.5,4.4,10.4,21.0,0.639
Desmond Bane,ORL,80.0,2721.0,2.3,1.4,7.3,17.0,0.609
Jabari Smith Jr.,HOU,76.0,2666.0,0.9,-0.7,6.6,13.5,0.57
Toumani Camara,POR,80.0,2665.0,0.7,-0.9,4.7,11.5,0.584
Mikal Bridges,NYK,80.0,2659.0,3.1,2.6,7.9,15.3,0.587
Jamal Murray,DEN,75.0,2652.0,4.0,4.1,9.5,21.9,0.622
Scottie Barnes,TOR,78.0,2615.0,4.0,4.1,7.5,19.1,0.576
Julius Randle,MIN,79.0,2610.0,2.3,1.4,7.5,18.5,0.585
Derrick White,BOS,76.0,2609.0,3.4,3.1,7.0,16.1,0.529
Tyrese Maxey,PHI,68.0,2596.0,4.8,5.4,8.4,21.9,0.588
Nickeil Alexander-Walker,ATL,77.0,2571.0,2.0,1.2,6.2,16.5,0.61
Jalen Brunson,NYK,73.0,2559.0,3.2,2.9,8.6,20.0,0.578
VJ Edgecombe,PHI,73.0,2553.0,0.9,-0.6,4.2,13.9,0.542
Brandon Ingram,TOR,75.0,2537.0,1.6,0.4,4.3,16.2,0.571
Payton Pritchard,BOS,78.0,2526.0,2.7,2.2,8.3,17.0,0.583
Jalen Johnson,ATL,71.0,2507.0,4.0,4.3,7.5,20.5,0.58
Kon Knueppel,CHO,79.0,2490.0,3.1,2.9,8.0,17.3,0.637
Dyson Daniels,ATL,75.0,2490.0,2.0,1.1,6.4,15.4,0.542
Donte DiVincenzo,MIN,80.0,2457.0,1.7,0.8,5.2,12.4,0.568
Paolo Banchero,ORL,70.0,2437.0,2.1,1.4,4.9,17.7,0.569
Jaylen Brown,BOS,70.0,2414.0,3.4,3.5,6.9,22.2,0.572
James Harden,2TM,69.0,2413.0,3.6,4.0,7.7,20.7,0.61
James Harden,LAC,44.0,1559.0,2.3,3.8,4.8,21.7,0.598
James Harden,CLE,25.0,854.0,1.4,4.2,2.9,19.0,0.639
DeMar DeRozan,SAC,77.0,2406.0,1.1,-0.1,5.6,17.9,0.594
Rudy Gobert,MIN,76.0,2380.0,1.8,1.0,8.8,17.6,0.664
Ryan Rollins,MIL,74.0,2376.0,1.3,0.1,3.4,16.3,0.583
Alperen Şengün,HOU,71.0,2369.0,3.6,4.1,7.8,21.3,0.566
Donovan Mitchell,CLE,70.0,2342.0,4.2,5.1,8.3,23.0,0.613
Trey Murphy III,NOP,66.0,2341.0,2.6,2.4,6.1,18.3,0.613
Miles Bridges,CHO,75.0,2340.0,1.8,1.1,6.4,16.1,0.571
Cooper Flagg,DAL,68.0,2302.0,1.9,1.3,3.7,17.8,0.546
Bam Adebayo,MIA,71.0,2297.0,2.2,1.8,6.0,18.4,0.549
Karl-Anthony Towns,NYK,74.0,2292.0,3.0,3.1,9.3,21.9,0.617
Luka Dončić,LAL,64.0,2289.0,6.5,9.2,9.4,27.9,0.616
Jaden McDaniels,MIN,72.0,2281.0,1.0,-0.2,5.3,14.0,0.616
Brandin Podziemski,GSW,80.0,2280.0,1.3,0.2,5.0,14.9,0.58
Onyeka Okongwu,ATL,73.0,2270.0,1.6,0.8,6.0,16.1,0.594
Collin Gillespie,PHO,79.0,2266.0,2.5,2.4,6.1,15.2,0.576
Shai Gilgeous-Alexander,OKC,68.0,2259.0,7.8,11.7,15.4,30.9,0.665
Nikola Jokić,DEN,64.0,2247.0,9.0,14.1,14.6,32.2,0.669
Saddiq Bey,NOP,72.0,2246.0,1.4,0.5,5.5,17.1,0.579
CJ McCollum,2TM,75.0,2239.0,0.8,-0.5,2.8,15.7,0.562
CJ McCollum,WAS,35.0,1082.0,0.1,-1.5,1.0,15.3,0.573
CJ McCollum,ATL,40.0,1157.0,0.7,0.4,1.8,16.0,0.552
Wendell Carter Jr.,ORL,76.0,2232.0,0.9,-0.5,6.1,14.3,0.621
Matas Buzelis,CHI,76.0,2222.0,0.6,-1.0,2.7,14.9,0.59
Immanuel Quickley,TOR,69.0,2215.0,2.5,2.5,6.5,16.6,0.579
Julian Champagnie,SAS,80.0,2214.0,1.9,1.4,6.1,13.0,0.608
OG Anunoby,NYK,66.0,2208.0,2.3,2.0,6.2,15.8,0.622
Max Christie,DAL,75.0,2201.0,0.2,-1.6,2.6,10.9,0.599
Bub Carrington,WAS,80.0,2199.0,-1.6,-4.9,-0.6,9.6,0.549
A.J. Green,MIL,76.0,2193.0,-0.9,-3.6,2.0,9.0,0.618
Royce O'Neale,PHO,77.0,2191.0,1.4,0.5,4.5,11.5,0.598
Naji Marshall,DAL,74.0,2184.0,0.8,-0.6,4.4,15.4,0.592
Kris Dunn,LAC,80.0,2181.0,0.7,-0.8,4.0,11.5,0.582
De'Aaron Fox,SAS,70.0,2170.0,2.3,2.2,6.2,17.6,0.579
Quentin Grimes,PHI,73.0,2161.0,0.2,-1.6,3.4,12.9,0.585
Devin Booker,PHO,64.0,2146.0,2.3,2.2,6.4,20.4,0.585
Deni Avdija,POR,64.0,2131.0,3.3,4.0,6.6,20.1,0.597
Cade Cunningham,DET,62.0,2121.0,4.6,6.5,7.8,21.8,0.567
Anthony Edwards,MIN,60.0,2109.0,3.5,4.7,6.6,21.9,0.617
Reed Sheppard,HOU,80.0,2103.0,2.5,2.7,5.7,15.6,0.566
Tim Hardaway Jr.,DEN,79.0,2100.0,0.7,-0.7,4.3,13.6,0.626
Duncan Robinson,DET,75.0,2066.0,1.4,0.7,6.0,12.3,0.626
Jaime Jaquez Jr.,MIA,73.0,2059.0,1.0,0.0,3.8,15.4,0.564
Pascal Siakam,IND,62.0,2057.0,1.4,0.7,2.7,18.6,0.562
Evan Mobley,CLE,64.0,2053.0,2.7,3.2,6.6,20.2,0.598
Kawhi Leonard,LAC,64.0,2047.0,5.2,8.0,9.1,28.0,0.63
Cason Wallace,OKC,77.0,2046.0,1.7,1.3,5.3,12.2,0.538
Donovan Clingan,POR,75.0,2042.0,2.5,2.9,8.2,20.8,0.602
Jeremiah Fears,NOP,80.0,2027.0,-0.5,-2.9,0.5,13.4,0.524
Andrew Wiggins,MIA,66.0,2014.0,1.7,1.4,4.5,15.4,0.589
Stephon Castle,SAS,67.0,2008.0,2.0,1.9,5.8,17.4,0.576
Naz Reid,MIN,77.0,2007.0,1.5,0.9,4.1,15.4,0.565
Jake LaRavia,LAL,80.0,2006.0,0.4,-1.3,3.6,12.0,0.572
Chet Holmgren,OKC,69.0,1997.0,3.2,4.3,9.2,21.6,0.653
Devin Vassell,SAS,65.0,1984.0,1.3,0.7,4.9,13.1,0.574
Davion Mitchell,MIA,69.0,1975.0,0.5,-1.0,4.2,12.1,0.578
Josh Hart,NYK,65.0,1964.0,2.5,3.1,6.1,15.9,0.613
LaMelo Ball,CHO,70.0,1956.0,3.3,4.6,6.0,19.7,0.546
Jalen Duren,DET,69.0,1954.0,3.4,4.9,10.8,26.0,0.687
Bruce Brown,DEN,80.0,1944.0,-0.3,-2.6,2.7,10.6,0.558
Derik Queen,NOP,79.0,1943.0,0.5,-0.9,2.5,15.6,0.545
