date,game_id,team_id,team_abbr,player_id,player_name,starter,minutes,pts,reb,oreb,dreb,ast,stl,blk,tov,pf,fgm,fga,fg3m,fg3a,ftm,fta
2025-10-22,22500003,1610612752,NYK,1628384,OG Anunoby,1,PT37M30.00S,24,14,2,12,2,3,1,4,0,9,17,4,9,2,4
2025-10-22,22500003,1610612752,NYK,1626157,Karl-Anthony Towns,1,PT30M59.50S,19,11,1,10,2,0,0,3,4,5,12,1,4,8,9
2025-10-22,22500003,1610612752,NYK,1630574,Ariel Hukporti,1,PT17M45.00S,2,5,1,4,2,0,1,1,3,1,2,0,0,0,0
2025-10-22,22500003,1610612752,NYK,1628969,Mikal Bridges,1,PT33M12.00S,16,5,1,4,6,3,2,0,3,6,11,1,3,3,3
2025-10-22,22500003,1610612752,NYK,1628973,Jalen Brunson,1,PT34M23.10S,23,4,0,4,5,0,0,2,3,5,18,1,9,12,13
2025-10-22,22500003,1610612752,NYK,1627824,Guerschon Yabusele,0,PT12M02.00S,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0
2025-10-22,22500003,1610612752,NYK,1630540,Miles McBride,0,PT25M52.00S,15,2,1,1,1,1,0,2,4,4,7,4,6,3,4
2025-10-22,22500003,1610612752,NYK,1641998,Trey Jemison III,0,PT07M41.00S,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2025-10-22,22500003,1610612752,NYK,1629013,Landry Shamet,0,PT13M49.40S,9,2,0,2,1,1,0,1,1,2,4,2,3,3,3
2025-10-22,22500003,1610612752,NYK,203903,Jordan Clarkson,0,PT13M09.10S,4,1,1,0,1,0,0,0,2,2,7,0,2,0,0
2025-10-22,22500003,1610612752,NYK,1642278,Tyler Kolek,0,PT13M36.90S,7,1,0,1,2,0,0,0,2,3,6,1,3,0,0
2025-10-22,22500003,1610612739,CLE,1630596,Evan Mobley,1,PT35M56.10S,22,8,0,8,3,3,1,3,3,8,18,4,8,2,5
2025-10-22,22500003,1610612739,CLE,1642281,Jaylon Tyson,1,PT20M13.00S,5,2,1,1,1,0,1,2,4,2,4,1,3,0,0
2025-10-22,22500003,1610612739,CLE,1628386,Jarrett Allen,1,PT28M12.50S,4,4,0,4,1,2,0,1,0,1,4,0,0,2,4
2025-10-22,22500003,1610612739,CLE,1630241,Sam Merrill,1,PT28M21.50S,19,3,1,2,1,0,0,1,6,6,11,5,10,2,2
2025-10-22,22500003,1610612739,CLE,1628378,Donovan Mitchell,1,PT35M52.90S,31,2,0,2,5,2,1,3,2,12,25,2,9,5,5
2025-10-22,22500003,1610612739,CLE,1628366,Lonzo Ball,0,PT23M29.40S,3,4,1,3,6,0,0,4,0,1,7,1,7,0,0
2025-10-22,22500003,1610612739,CLE,1629731,Dean Wade,0,PT28M07.10S,10,2,0,2,0,1,1,0,4,3,3,3,3,1,2
2025-10-22,22500003,1610612739,CLE,1641854,Craig Porter Jr.,0,PT06M43.00S,2,0,0,0,1,0,0,0,1,1,2,0,1,0,0
2025-10-22,22500003,1610612739,CLE,1626204,Larry Nance Jr.,0,PT16M59.00S,10,6,1,5,1,0,0,1,3,4,7,2,2,0,0
2025-10-22,22500003,1610612739,CLE,1642878,Tyrese Proctor,0,PT16M05.50S,5,1,0,1,2,0,0,0,2,2,5,1,3,0,0
2025-10-22,22500004,1610612742,DAL,1629023,P.J. Washington,1,PT29M25.00S,17,5,1,4,1,0,1,2,4,7,11,2,3,1,1
2025-10-22,22500004,1610612742,DAL,203076,Anthony Davis,1,PT32M29.00S,22,13,4,9,1,2,1,0,4,7,22,2,4,6,6
2025-10-22,22500004,1610612742,DAL,1641726,Dereck Lively II,1,PT10M18.80S,4,2,1,1,3,0,0,1,5,1,2,0,0,2,2
2025-10-22,22500004,1610612742,DAL,202691,Klay Thompson,1,PT22M20.00S,10,2,1,1,1,0,0,1,1,4,13,1,5,1,1
2025-10-22,22500004,1610612742,DAL,1642843,Cooper Flagg,1,PT31M32.00S,10,10,1,9,0,1,0,3,3,4,13,0,1,2,2
2025-10-22,22500004,1610612742,DAL,1630230,Naji Marshall,0,PT22M34.00S,3,1,0,1,1,0,0,0,2,0,2,0,0,3,4
2025-10-22,22500004,1610612742,DAL,1631108,Max Christie,0,PT25M57.00S,9,0,0,0,1,0,1,2,0,3,4,3,4,0,0
2025-10-22,22500004,1610612742,DAL,1626156,D'Angelo Russell,0,PT15M04.00S,6,2,0,2,3,0,0,1,2,1,6,0,1,4,6
2025-10-22,22500004,1610612742,DAL,1642948,Ryan Nembhard,0,PT15M31.00S,8,0,0,0,5,0,0,3,0,3,5,0,1,2,2
2025-10-22,22500004,1610612742,DAL,203939,Dwight Powell,0,PT07M52.20S,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0
2025-10-22,22500004,1610612742,DAL,1630314,Brandon Williams,0,PT11M34.00S,0,0,0,0,2,1,0,1,0,0,1,0,0,0,2
2025-10-22,22500004,1610612742,DAL,1630702,Jaden Hardy,0,PT07M15.00S,3,1,0,1,0,0,0,0,1,1,3,1,2,0,0
2025-10-22,22500004,1610612742,DAL,1628997,Caleb Martin,0,PT04M04.00S,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
2025-10-22,22500004,1610612742,DAL,1630619,Moussa Cisse,0,PT04M04.00S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
