player_id,player_name,games,minutes_on_total,minutes_on_avg,on_diff_total,off_diff_total,on_off_diff_total,on_diff_avg,off_diff_avg,on_off_diff_avg,on_diff_adj_total,off_diff_adj_total,on_off_diff_adj_total,on_diff_adj_avg,off_diff_adj_avg,on_off_diff_adj_avg,first_game_date,last_game_date,latest_team_id
1630692,Goodwin,1,4.98,4.98,0.0,-35.0,35.0,0.0,-35.0,35.0,1.669,-42.973,44.642,1.669,-42.973,44.642,2026-04-19,2026-04-19,1610612756
1642854,Newell,2,10.73,5.365,9.0,-76.0,85.0,4.5,-38.0,42.5,8.296,-46.424,54.722,4.148,-23.212,27.361,2026-04-25,2026-04-30,1610612737
1630557,Kispert,5,54.18,10.836,13.0,-107.0,120.0,2.6,-21.4,24.0,22.376,-89.674,112.05,4.475,-17.935,22.41,2026-04-20,2026-04-30,1610612737
1630811,Wallace,3,15.45,5.15,3.0,-99.0,102.0,1.0,-33.0,34.0,3.445,-60.957,64.404,1.148,-20.319,21.468,2026-04-25,2026-04-30,1610612737
1629021,Wagner,2,12.65,6.325,8.0,-45.0,53.0,4.0,-22.5,26.5,6.579,-31.256,37.835,3.29,-15.628,18.918,2026-04-22,2026-05-03,1610612753
1628975,Carter,3,16.5,5.5,9.0,-60.0,69.0,3.0,-20.0,23.0,10.047,-41.922,51.969,3.349,-13.974,17.323,2026-04-22,2026-05-03,1610612753
1628396,Bradley,4,40.66,10.165,-3.0,-92.0,89.0,-0.75,-23.0,22.25,5.859,-61.694,67.554,1.465,-15.424,16.888,2026-04-20,2026-04-30,1610612737
1642853,Fleming,4,18.31,4.578,3.0,-72.0,75.0,0.75,-18.0,18.75,2.064,-64.912,66.976,0.516,-16.228,16.744,2026-04-19,2026-04-27,1610612756
1642258,Risacher,3,22.71,7.57,-2.0,-76.0,74.0,-0.667,-25.333,24.667,1.922,-46.604,48.528,0.641,-15.535,16.176,2026-04-18,2026-04-30,1610612737
1627741,Hield,2,13.05,6.525,-15.0,-65.0,50.0,-7.5,-32.5,25.0,-14.198,-46.503,32.307,-7.099,-23.252,16.154,2026-04-28,2026-04-30,1610612737
1629599,Coffey,4,6.21,1.552,5.0,-74.0,79.0,1.25,-18.5,19.75,0.219,-63.069,63.288,0.055,-15.767,15.822,2026-04-19,2026-04-27,1610612756
1641763,Phillips,5,25.39,5.078,4.0,-96.0,100.0,0.8,-19.2,20.0,4.8,-70.884,75.684,0.96,-14.177,15.137,2026-04-23,2026-05-15,1610612750
1642866,Beringer,5,23.15,4.63,1.0,-93.0,94.0,0.2,-18.6,18.8,4.76,-70.844,75.604,0.952,-14.169,15.121,2026-04-23,2026-05-15,1610612750
1631123,Bouyea,4,9.51,2.378,3.0,-72.0,75.0,0.75,-18.0,18.75,-1.897,-60.952,59.055,-0.474,-15.238,14.764,2026-04-19,2026-04-27,1610612756
1631133,Walker,6,29.48,4.913,-1.0,-130.0,129.0,-0.167,-21.667,21.5,13.976,-73.229,87.205,2.329,-12.205,14.534,2026-04-19,2026-05-10,1610612755
1641780,Broome,2,7.73,3.865,4.0,-73.0,77.0,2.0,-36.5,38.5,4.348,-24.598,28.946,2.174,-12.299,14.473,2026-05-04,2026-05-10,1610612755
1641740,Clark,6,57.05,9.508,-3.0,-92.0,89.0,-0.5,-15.333,14.833,8.407,-78.152,86.562,1.401,-13.025,14.427,2026-04-27,2026-05-15,1610612750
1642349,Mitchell,11,316.14,28.74,149.0,1.0,148.0,13.545,0.091,13.455,137.665,-17.139,154.804,12.515,-1.558,14.073,2026-04-19,2026-05-22,1610612760
1641724,Howard,1,2.95,2.95,3.0,-18.0,21.0,3.0,-18.0,21.0,-1.052,-13.792,12.74,-1.052,-13.792,12.74,2026-04-22,2026-04-22,1610612753
1642859,Richardson,1,2.95,2.95,3.0,-18.0,21.0,3.0,-18.0,21.0,-1.052,-13.792,12.74,-1.052,-13.792,12.74,2026-04-22,2026-04-22,1610612753
1642869,Penda,1,2.95,2.95,3.0,-18.0,21.0,3.0,-18.0,21.0,-1.052,-13.792,12.74,-1.052,-13.792,12.74,2026-04-22,2026-04-22,1610612753
1630202,Pritchard,7,230.62,32.946,44.0,-24.0,68.0,6.286,-3.429,9.714,62.795,-22.269,85.066,8.971,-3.181,12.152,2026-04-19,2026-05-02,1610612738
1626157,Towns,19,580.2,30.537,262.0,21.0,241.0,13.789,1.105,12.684,200.592,-30.242,230.833,10.557,-1.592,12.149,2026-04-18,2026-06-13,1610612752
203937,Anderson,8,60.89,7.611,-3.0,-79.0,76.0,-0.375,-9.875,9.5,3.414,-82.022,85.436,0.427,-10.253,10.68,2026-04-18,2026-05-15,1610612750
1629618,Pickett,2,4.19,2.095,0.0,-33.0,33.0,0.0,-16.5,16.5,-0.803,-21.024,20.221,-0.402,-10.512,10.11,2026-04-23,2026-04-25,1610612743
1641747,Holmes II,2,4.19,2.095,0.0,-33.0,33.0,0.0,-16.5,16.5,-0.803,-21.024,20.221,-0.402,-10.512,10.11,2026-04-23,2026-04-25,1610612743
1642261,Knecht,5,18.15,3.63,-2.0,-56.0,54.0,-0.4,-11.2,10.8,-2.259,-51.906,49.646,-0.452,-10.381,9.929,2026-04-26,2026-05-09,1610612747
204060,Ingles,3,13.59,4.53,5.0,-38.0,43.0,1.667,-12.667,14.333,1.362,-28.374,29.736,0.454,-9.458,9.912,2026-04-23,2026-05-06,1610612750
1631218,Jackson-Davis,3,4.01,1.337,-1.0,-2.0,1.0,-0.333,-0.667,0.333,0.133,-29.246,29.378,0.044,-9.749,9.793,2026-04-18,2026-05-03,1610612761
1641711,Dick,3,4.01,1.337,-1.0,-2.0,1.0,-0.333,-0.667,0.333,0.133,-29.246,29.378,0.044,-9.749,9.793,2026-04-18,2026-05-03,1610612761
1642367,Mogbo,3,4.01,1.337,-1.0,-2.0,1.0,-0.333,-0.667,0.333,0.133,-29.246,29.378,0.044,-9.749,9.793,2026-04-18,2026-05-03,1610612761
1641708,Thompson,6,264.45,44.075,7.0,-22.0,29.0,1.167,-3.667,4.833,40.488,-18.219,58.707,6.748,-3.036,9.784,2026-04-18,2026-05-01,1610612745
1641733,Smith Jr.,6,18.17,3.028,-2.0,-52.0,50.0,-0.333,-8.667,8.333,-1.455,-59.66,58.204,-0.242,-9.943,9.701,2026-04-24,2026-05-09,1610612747
