season,season_type,player_id,player_name,season_games,layup_assists_created,dunk_assists_created,other_rim_assists_created,rim_assists_strict,rim_assists_all,layup_assists_created_per_game,dunk_assists_created_per_game,other_rim_assists_created_per_game,rim_assists_strict_per_game,rim_assists_all_per_game
1996-97,Playoffs,304,John Stockton,20.0,59,12,0,71,71,2.95,0.6,0.0,3.55,3.55
1996-97,Playoffs,896,Tim Hardaway,5.0,25,9,0,34,34,5.0,1.8,0.0,6.8,6.8
1996-97,Playoffs,56,Gary Payton,10.0,23,10,0,33,33,2.3,1.0,0.0,3.3,3.3
1996-97,Playoffs,893,Michael Jordan,21.0,18,14,0,32,32,0.8571428571428571,0.6666666666666666,0.0,1.5238095238095237,1.5238095238095237
1996-97,Playoffs,17,Clyde Drexler,5.0,24,6,0,30,30,4.8,1.2,0.0,6.0,6.0
1996-97,Playoffs,252,Karl Malone,20.0,22,7,0,29,29,1.1,0.35,0.0,1.45,1.45
1996-97,Playoffs,937,Scottie Pippen,21.0,16,10,0,26,26,0.7619047619047619,0.47619047619047616,0.0,1.2380952380952381,1.2380952380952381
1996-97,Playoffs,787,Charles Barkley,4.0,23,2,0,25,25,5.75,0.5,0.0,6.25,6.25
1996-97,Playoffs,89,Nick Van Exel,13.0,15,8,0,23,23,1.1538461538461537,0.6153846153846154,0.0,1.7692307692307692,1.7692307692307692
1996-97,Playoffs,204,Jeff Hornacek,20.0,17,4,0,21,21,0.85,0.2,0.0,1.05,1.05
1996-97,Playoffs,302,Mookie Blaylock,4.0,14,7,0,21,21,3.5,1.75,0.0,5.25,5.25
1996-97,Playoffs,389,Toni Kukoc,21.0,13,7,0,20,20,0.6190476190476191,0.3333333333333333,0.0,0.9523809523809523,0.9523809523809523
1996-97,Playoffs,765,Hersey Hawkins,10.0,11,6,0,17,17,1.1,0.6,0.0,1.7,1.7
1996-97,Playoffs,702,Voshon Lenard,5.0,8,8,0,16,16,1.6,1.6,0.0,3.2,3.2
1996-97,Playoffs,53,Mario Elie,5.0,12,3,0,15,15,2.4,0.6,0.0,3.0,3.0
1996-97,Playoffs,105,Dan Majerle,2.0,8,6,0,14,14,4.0,3.0,0.0,7.0,7.0
1996-97,Playoffs,458,Howard Eisley,20.0,11,3,0,14,14,0.55,0.15,0.0,0.7,0.7
1996-97,Playoffs,134,Kevin Johnson,4.0,12,2,0,14,14,3.0,0.5,0.0,3.5,3.5
1996-97,Playoffs,26,Luc Longley,18.0,9,5,0,14,14,0.5,0.2777777777777778,0.0,0.7777777777777778,0.7777777777777778
1996-97,Playoffs,224,Eddie Jones,13.0,10,3,0,13,13,0.7692307692307693,0.23076923076923078,0.0,1.0,1.0
1996-97,Playoffs,469,Jamal Mashburn,5.0,8,5,0,13,13,1.6,1.0,0.0,2.6,2.6
1996-97,Playoffs,467,Jason Kidd,4.0,11,2,0,13,13,2.75,0.5,0.0,3.25,3.25
1996-97,Playoffs,165,Hakeem Olajuwon,5.0,9,3,0,12,12,1.8,0.6,0.0,2.4,2.4
1996-97,Playoffs,164,Chris Childs,10.0,8,3,0,11,11,0.8,0.3,0.0,1.1,1.1
1996-97,Playoffs,363,Christian Laettner,4.0,7,4,0,11,11,1.75,1.0,0.0,2.75,2.75
1996-97,Playoffs,166,Ron Harper,21.0,8,3,0,11,11,0.38095238095238093,0.14285714285714285,0.0,0.5238095238095238,0.5238095238095238
