player_name,pts,ast,stl,blk,reb,fga,fg3a,fta,tov,min_seconds,fgm,fg3m,pip,player_id
Luguentz Dort,463,70,46,22,203,419,294,48,44,88959.40000000001,163,100,104,1629652
Chet Holmgren,968,98,30,108,506,647,202,232,90,98603.7,357,72,518,1631096
Isaiah Hartenstein,368,126,35,28,332,245,6,92,68,54840.799999999996,156,0,302,1628392
Cason Wallace,541,166,126,18,195,483,240,56,62,100254.50000000001,207,83,232,1641717
Shai Gilgeous-Alexander,1650,336,71,40,228,1029,232,478,110,104106.9,567,89,660,1628983
Jaylin Williams,345,126,27,33,258,269,191,76,52,58398.9,109,66,68,1631119
Aaron Wiggins,507,90,47,25,165,442,224,62,65,69080.10000000002,190,81,204,1630598
Alex Caruso,277,86,59,14,115,237,141,40,38,47619.700000000004,101,44,106,1627936
Brooks Barnhizer,45,16,6,4,56,49,17,6,8,14827.800000000001,18,5,24,1642964
Chris Youngblood,65,11,4,3,28,60,51,10,2,10452.5,20,16,6,1642959
Ajay Mitchell,606,157,61,14,149,456,137,131,68,67715.70000000001,222,48,326,1642349
Jabari Smith Jr.,886,104,47,57,401,713,351,151,78,121631.7,321,128,302,1631095
Alperen Sengun,1129,341,72,59,500,881,101,309,184,111383.50000000003,443,29,762,1630578
Steven Adams,187,48,22,20,276,139,0,81,35,43821.89999999999,70,0,138,203500
Kevin Durant,1540,266,51,53,324,1063,343,360,192,129427.59999999998,541,138,468,201142
Amen Thompson,1053,316,93,37,463,788,97,283,152,133535.30000000002,408,20,728,1641708
Tari Eason,448,66,51,23,251,394,187,40,58,63629.3,172,76,178,1631106
Reed Sheppard,837,202,88,40,170,708,414,73,89,95555.1,307,165,208,1642263
Clint Capela,202,33,26,44,251,168,0,51,26,40445.29999999999,85,0,170,203991
Josh Okogie,303,49,52,12,162,245,137,57,36,67682.49999999997,107,55,102,1629006
Austin Reaves,868,200,39,13,175,546,235,275,115,74002.3,270,87,332,1630559
Rui Hachimura,591,45,29,15,168,456,207,54,35,88832.70000000001,229,92,162,1629060
Deandre Ayton,678,46,34,49,444,462,0,94,70,88410.90000000001,308,0,590,1629028
Gabe Vincent,162,50,18,2,34,158,126,12,13,38570.8,54,43,16,1629216
Luka Dončić,1657,433,75,27,398,1119,525,524,204,108471.1,531,190,514,1629029
Marcus Smart,503,152,70,21,151,407,247,109,82,90036.79999999999,165,85,130,203935
Jake LaRavia,566,115,77,28,245,439,211,124,67,97258.30000000002,202,68,266,1631222
Jarred Vanderbilt,239,65,46,17,244,199,82,47,49,56581.200000000004,92,25,134,1629020
Jaxson Hayes,372,50,20,33,212,203,2,91,24,56222.799999999996,155,2,306,1629637
Jimmy Butler III,760,185,55,8,211,461,85,287,60,70900.6,240,32,370,202710
Jonathan Kuminga,306,60,13,7,140,225,62,88,54,33342.6,109,22,164,1630228
Draymond Green,429,266,41,31,287,380,235,61,136,82137.49999999999,156,74,158,203110
Brandin Podziemski,782,228,67,11,320,626,290,146,95,102660.8,282,106,292,1641764
Stephen Curry,1061,189,44,16,138,744,448,204,111,73300.7,348,175,252,201939
Gary Payton II,327,89,39,17,171,268,94,14,51,44816.799999999996,145,29,230,1627780
Buddy Hield,354,66,37,9,108,301,196,34,43,46360.3,130,67,112,1627741
Al Horford,337,103,30,45,200,285,181,26,38,51902.80000000001,124,67,100,201143
Gui Santos,351,93,41,19,175,256,132,54,61,52172.8,133,49,164,1630611
Will Richard,376,78,64,7,136,286,172,50,43,62572.100000000006,137,60,142,1642954
Quinten Post,460,84,25,30,248,395,252,39,49,62837.60000000001,172,85,160,1642366
OG Anunoby,822,111,87,38,262,609,293,165,95,99128.89999999998,291,108,344,1628384
Karl-Anthony Towns,1182,168,53,34,712,824,255,339,150,112151.7,400,93,588,1626157
Ariel Hukporti,88,22,8,23,130,59,4,28,27,24248.399999999994,33,1,64,1630574
Mikal Bridges,994,252,92,53,258,798,340,81,67,130172.0,398,131,404,1628969
Jalen Brunson,1545,382,41,7,200,1180,439,336,132,122740.20000000001,548,166,530,1628973
Guerschon Yabusele,249,45,16,11,165,215,137,39,29,40889.9,87,48,72,1627824
Miles McBride,451,97,30,6,90,362,243,43,28,58837.1,157,102,58,1630540
Trey Jemison III,9,3,1,2,16,7,0,1,6,3659.3,4,0,8,1641998
Landry Shamet,392,59,21,8,70,283,203,66,20,52656.899999999994,130,84,78,1629013
Jordan Clarkson,472,67,22,8,92,409,190,74,53,58663.0,176,62,202,203903
Tyler Kolek,243,152,19,3,91,228,103,18,53,39415.6,97,37,110,1642278
Evan Mobley,847,181,42,88,416,631,178,220,95,93926.99999999999,326,56,500,1630596
Jaylon Tyson,788,129,49,24,306,591,264,97,87,96438.20000000001,297,121,332,1642281
Jarrett Allen,779,97,50,44,432,481,10,229,69,84266.70000000001,306,1,582,1628386
Sam Merrill,512,85,22,5,87,356,284,48,36,60356.299999999996,170,131,62,1630241
Donovan Mitchell,1570,320,86,15,247,1131,517,337,170,110404.79999999999,546,191,568,1628378
Lonzo Ball,160,136,45,9,140,176,147,21,52,43664.6,53,40,24,1628366
Dean Wade,278,76,39,20,202,225,164,38,14,65200.40000000001,96,59,68,1629731
Craig Porter Jr.,253,183,54,32,186,231,82,36,51,59394.700000000004,102,29,130,1641854
Larry Nance Jr.,89,26,15,4,71,95,50,5,12,20521.2,35,16,38,1626204
Tyrese Proctor,201,55,17,0,43,177,107,29,27,26143.2,70,36,52,1642878
P.J. Washington,635,86,43,55,308,531,181,156,84,83393.0,236,57,338,1629023
Anthony Davis,407,56,22,33,221,334,37,81,41,37537.799999999996,169,10,262,203076
Dereck Lively II,30,13,4,11,37,18,0,10,10,6916.400000000001,11,0,22,1641726
Klay Thompson,662,76,28,16,130,591,430,40,54,73636.30000000002,233,166,66,202691
Cooper Flagg,1033,214,60,43,334,835,180,235,113,103523.40000000001,395,53,560,1642843
Naji Marshall,910,186,63,6,290,642,169,244,88,106713.19999999998,337,50,536,1630230
Max Christie,756,126,31,18,203,571,337,107,71,103475.89999999997,261,140,208,1631108
D'Angelo Russell,264,104,12,2,61,232,112,60,49,29686.5,94,33,86,1626156
Ryan Nembhard,277,199,13,1,78,266,95,19,62,46605.4,113,36,88,1642948
Dwight Powell,154,44,23,17,179,75,3,82,28,40122.5,49,1,94,203939
Brandon Williams,704,206,51,13,161,525,132,230,103,72291.0,247,32,374,1630314
Jaden Hardy,334,34,11,3,63,281,168,56,39,34850.799999999996,114,63,88,1630702
Caleb Martin,216,78,39,12,133,178,52,57,36,48202.100000000006,82,19,108,1628997
Moussa Cisse,127,8,12,37,166,83,0,66,25,25517.8,49,0,98,1630619
Julian Champagnie,719,94,49,27,371,530,404,120,57,105076.8,231,157,140,1630577
Harrison Barnes,611,124,41,11,172,472,295,97,53,96679.7,209,111,184,203084
Victor Wembanyama,1166,142,48,147,549,793,252,346,125,85544.20000000001,398,88,494,1641705
Devin Vassell,720,121,42,21,195,587,333,91,48,91740.10000000002,259,128,130,1630170
Stephon Castle,856,370,69,18,257,633,182,298,168,94556.10000000002,294,53,432,1642264
Luke Kornet,367,98,23,59,338,225,0,92,25,68359.6,146,0,288,1628436
Keldon Johnson,810,83,40,8,353,577,193,152,59,88019.79999999999,309,72,460,1629640
Dylan Harper,574,192,46,16,170,480,129,105,75,68590.70000000001,231,35,354,1642844
Jordan McLaughlin,61,23,13,1,20,60,31,5,12,11472.1,23,11,22,1629162
Carter Bryant,179,22,11,14,117,174,102,22,20,31072.300000000003,65,34,60,1642868
Bismack Biyombo,16,5,4,1,15,9,0,5,5,6269.199999999999,6,0,12,202687
David Jones Garcia,32,18,6,1,13,25,5,6,5,4078.5,13,3,20,1642357
Harrison Ingram,9,1,0,0,3,5,1,0,0,1040.0,4,1,6,1631127
Riley Minix,9,1,1,0,2,6,3,0,0,496.0,4,1,6,1642434
Kon Knueppel,1216,216,47,16,340,854,505,179,135,120574.09999999999,419,222,350,1642851
Miles Bridges,1032,201,36,29,348,831,372,206,85,112498.39999999998,369,122,472,1628970
Ryan Kalkbrenner,408,41,29,78,305,231,2,93,48,69604.90000000002,172,0,342,1641750
Brandon Miller,980,159,51,39,233,780,387,174,135,84425.30000000002,339,147,312,1641706
LaMelo Ball,1038,393,62,12,258,920,523,131,152,89548.7,365,190,310,1630163
Collin Sexton,762,179,52,8,104,541,203,187,116,72986.40000000001,262,76,336,1629012
Sion James,349,125,37,19,222,287,176,85,55,89550.39999999995,107,63,88,1642883
Moussa Diabaté,469,100,40,55,491,286,2,149,51,86050.09999999999,184,1,362,1631217
Tidjane Salaün,222,27,16,7,149,158,83,40,25,34264.799999999996,80,36,88,1642275
Tre Mann,268,82,22,5,89,278,145,25,50,37332.5,100,47,90,1630544
Terance Mann,405,176,36,13,172,321,132,72,60,79994.6,149,49,184,1629611
Michael Porter Jr.,1211,156,52,11,352,919,467,217,117,97622.60000000002,427,172,414,1629008
Nic Claxton,701,221,42,65,401,494,16,205,78,97792.09999999999,287,3,544,1629651
Cam Thomas,514,93,5,3,66,419,154,148,64,46914.399999999994,170,48,164,1630560
Ben Saraf,135,71,19,4,39,133,54,37,49,27151.6,47,13,68,1642879
Ziaire Williams,414,42,53,19,105,327,214,90,43,60274.49999999999,134,68,130,1630533
Egor Dëmin,536,173,42,18,165,449,322,65,86,78492.5,179,124,92,1642856
Day'Ron Sharpe,508,139,63,25,401,335,37,150,101,67262.3,200,7,386,1630549
Noah Clowney,720,96,43,39,235,553,353,197,88,94830.19999999998,222,119,192,1641730
Tyrese Martin,282,76,22,5,110,268,161,26,37,44431.6,105,53,94,1631213
Jalen Wilson,205,23,16,2,61,173,109,48,21,33237.3,64,40,46,1630592
Drake Powell,280,70,24,7,79,229,117,59,47,53641.00000000001,97,33,94,1642962
Nolan Traore,336,149,27,13,65,315,118,61,81,54048.899999999994,125,38,162,1642849
Franz Wagner,596,101,30,9,162,428,115,174,48,53464.1,205,42,304,1630532
Paolo Banchero,1120,257,35,33,434,821,192,400,150,106724.3,376,59,536,1631094
Wendell Carter Jr.,671,119,45,37,441,483,183,163,72,103062.0,241,59,320,1628976
Desmond Bane,1235,251,58,29,256,918,324,238,124,125227.90000000001,445,127,532,1630217
Jalen Suggs,517,205,72,31,144,424,231,90,96,59856.600000000006,183,75,168,1630591
Tyus Jones,178,147,36,3,64,199,125,8,21,54278.700000000004,68,35,50,1626145
Jonathan Isaac,134,22,20,31,130,108,38,58,18,31168.600000000002,46,7,74,1628371
Anthony Black,917,229,85,41,231,737,284,213,125,110329.3,332,96,438,1641710
Goga Bitadze,267,53,30,51,225,159,10,61,24,42850.4,111,2,218,1629048
Tristan da Silva,508,75,49,18,200,428,231,45,46,78738.5,189,91,174,1641783
Andrew Wiggins,905,159,64,59,291,721,283,137,91,105898.69999999998,342,113,382,203952
Nikola Jović,339,100,26,17,152,306,163,101,65,47482.3,113,44,134,1631107
Bam Adebayo,1054,160,61,38,551,847,275,268,94,105681.40000000001,379,90,498,1628389
Norman Powell,1103,125,59,11,178,776,356,278,100,88213.70000000001,367,139,392,1626181
Davion Mitchell,467,362,56,9,136,389,156,54,82,90490.40000000001,183,66,208,1630558
Jaime Jaquez Jr.,900,270,46,17,310,713,122,187,129,101437.29999999999,362,35,598,1631170
Simone Fontecchio,480,85,31,9,180,395,277,87,43,58496.700000000004,154,99,104,1631323
Kel'el Ware,683,33,53,66,564,518,174,80,51,81001.49999999999,276,69,410,1642276
Dru Smith,359,159,91,19,156,294,120,99,48,61513.299999999996,120,37,154,1630696
Pelle Larsson,552,178,35,13,178,399,145,145,65,79515.6,196,47,294,1641796
Zaccharie Risacher,498,63,44,26,183,438,210,65,45,71067.1,193,74,214,1642258
