game_id,stint_index,home_id,away_id,home_p1,home_p2,home_p3,home_p4,home_p5,away_p1,away_p2,away_p3,away_p4,away_p5,seconds,home_pts,away_pts,home_pts_adj,away_pts_adj,start_elapsed,end_elapsed,start_period,start_clock,end_period,end_clock,start_home_score,start_away_score,end_home_score,end_away_score,start_home_score_adj,start_away_score_adj,end_home_score_adj,end_away_score_adj,date
20900001,0,1610612739,1610612738,406,1515,2544,2590,2760,708,951,1718,2570,200765,426,21,12,20.507,10.366,0,426,1,PT12M00.00S,1,PT04M54.00S,0,0,21,12,0.0,0.0,20.507,10.366,2009-10-27
20900001,1,1610612739,1610612738,980,1515,2544,2760,200789,708,739,951,1718,200765,46,5,2,3.464,2.0,426,472,1,PT04M54.00S,1,PT04M08.00S,21,12,26,14,20.507,10.366,23.971,12.366,2009-10-27
20900001,2,1610612739,1610612738,980,1515,2544,200789,201581,708,739,1718,2605,200765,96,2,3,2.0,1.245,472,568,1,PT04M08.00S,1,PT02M32.00S,26,14,28,17,23.971,12.366,25.971,13.611,2009-10-27
20900001,3,1610612739,1610612738,980,2544,200081,200789,201581,739,1718,2605,200749,200765,87,0,2,0.934,2.0,568,655,1,PT02M32.00S,1,PT01M05.00S,28,17,28,19,25.971,13.611,26.905,15.611,2009-10-27
20900001,4,1610612739,1610612738,980,2544,200081,200789,201581,739,1718,2067,2605,200749,51,0,1,0.0,2.092,655,706,1,PT01M05.00S,1,PT00M14.20S,28,19,28,20,26.905,15.611,26.905,17.703,2009-10-27
20900001,5,1610612739,1610612738,406,980,2544,2590,200789,739,1718,2605,200749,200765,199,2,8,3.07,6.385,706,905,1,PT00M14.20S,2,PT08M55.00S,28,20,30,28,26.905,17.703,29.975,24.088,2009-10-27
20900001,6,1610612739,1610612738,406,980,1515,2544,2590,739,1718,2605,200749,200765,130,4,6,4.0,4.245,905,1035,2,PT08M55.00S,2,PT06M45.00S,30,28,34,34,29.975,24.088,33.975,28.334,2009-10-27
20900001,7,1610612739,1610612738,980,1515,2544,200081,200789,708,739,1718,2605,200765,100,5,2,3.557,4.225,1939,2039,3,PT03M41.00S,3,PT02M01.00S,56,68,61,70,57.59,59.912,61.147,64.138,2009-10-27
20900001,8,1610612739,1610612738,980,2544,200081,200789,201581,708,739,1718,2067,2605,47,0,0,1.154,0.0,2045,2092,3,PT01M55.00S,3,PT01M08.00S,61,71,61,71,61.147,65.138,62.301,65.138,2009-10-27
20900001,9,1610612739,1610612738,980,2544,200081,200789,201581,739,1718,2067,2605,200749,38,3,1,3.0,1.0,2092,2130,3,PT01M08.00S,3,PT00M29.70S,61,71,64,72,62.301,65.138,65.301,66.138,2009-10-27
