model,horizon,year,r
baseline,same,2019,0.5231484997673339
baseline,same,2020,0.5877807350544711
baseline,same,2021,0.5394542820852453
baseline,same,2022,0.5332064630712439
baseline,same,2023,0.5137286936488339
baseline,same,2024,0.6242326138567154
baseline,same,2025,0.6085135527916496
baseline,next,2019,0.45227464923286137
baseline,next,2020,0.4368361692309067
baseline,next,2021,0.4798182627286492
baseline,next,2022,0.46674708328179254
baseline,next,2023,0.48842497538132984
baseline,next,2024,0.5351406013407627
baseline,next,2025,0.5033907571215003
other_foul,same,2019,0.5251597701430832
other_foul,same,2020,0.5851835081167418
other_foul,same,2021,0.5305816050530112
other_foul,same,2022,0.5337087246328497
other_foul,same,2023,0.5142882094404755
other_foul,same,2024,0.6293234944335436
other_foul,same,2025,0.6144795084328207
other_foul,next,2019,0.45259228148854297
other_foul,next,2020,0.4443023551402884
other_foul,next,2021,0.4797864895748965
other_foul,next,2022,0.4655804535348905
other_foul,next,2023,0.4929766220003201
other_foul,next,2024,0.5443286570565649
other_foul,next,2025,0.5048632666323415
