season_year,players,poss,total_fouls,ft_attempts,ft_foul_trips,negative_other,trips_per_fta,total_fouls_per100
1996,440,1107563,400.0,60244.0,31834.0,0,0.5284177677445057,0.03611532707394523
1997,439,1110913,416.0,62464.0,33055.0,0,0.5291848104508197,0.03744667674246318
1998,440,668057,192.0,37376.0,19772.0,0,0.5290025684931506,0.02874006259944885
1999,438,1143326,5752.0,60098.0,31795.0,0,0.5290525475057406,0.5030936058482008
2000,440,1120549,167.0,59114.0,30931.0,0,0.5232432249551714,0.014903408954003796
2001,440,1111558,273.0,56632.0,29639.0,0,0.5233613504732307,0.024560121918964194
2002,428,1117158,171.0,58089.0,30381.0,0,0.5230077983783504,0.015306697888749844
2003,442,1106370,106.0,57549.0,30190.0,0,0.5245964308676084,0.009580881621880564
2004,464,1155199,96.0,64067.0,33799.0,0,0.5275570886727957,0.008310256501260821
2005,457,1149096,55847.0,64678.0,34191.0,2,0.5286341569003371,4.860081316095435
2006,457,1164559,54662.0,64141.0,33895.0,0,0.5284451442914828,4.693793959773614
2007,451,1168470,51697.0,61341.0,32462.0,2,0.5292055884318808,4.4243326743519305
2008,445,1160422,51762.0,60855.0,32247.0,1,0.5298989401035248,4.460618637013087
2009,441,1170474,51303.0,60366.0,32109.0,0,0.5319053771990856,4.383096079024396
2010,452,1163469,50948.0,59929.0,31619.0,0,0.5276076690750722,4.378973569557934
2011,478,930554,38740.0,44467.0,23400.0,0,0.5262329367845818,4.163111436842999
2012,468,1163147,48769.0,54521.0,28810.0,0,0.5284202417417142,4.19284922713982
2013,482,1187543,50914.0,58009.0,30680.0,1,0.5288834491199641,4.287339490022677
2014,492,1187624,49718.0,56180.0,29680.0,0,0.5283018867924528,4.186341805150452
2015,476,1209412,49849.0,57459.0,30287.0,1,0.5271062844811083,4.121755034678009
2016,485,1213139,48944.0,56843.0,30049.0,5,0.5286314937635241,4.034492337646387
2017,539,1226383,48833.0,53320.0,28434.0,1,0.5332708177044261,3.9818718948322016
2018,526,1260894,51422.0,56748.0,30216.0,3,0.5324592937196024,4.07821751868119
2019,528,1088213,43993.0,48927.0,25856.0,8,0.5284607680830625,4.042682820366968
2020,540,1096023,41663.0,47125.0,25129.0,6,0.5332413793103449,3.801288841566281
2021,602,1236185,48304.0,53778.0,28731.0,4,0.5342519245788241,3.9075057535886617
2022,539,1249891,49147.0,57876.0,31320.0,4,0.5411569562512959,3.9321028793710813
2023,570,1173205,43483.0,50386.0,28780.0,8,0.5711904100345334,3.706342881252637
2024,569,1239614,45530.0,53076.0,28532.0,3,0.5375687693119301,3.6729175372333644
2025,582,1254857,48867.0,57768.0,30706.0,1,0.5315399529151087,3.8942285854085363
