horizon,evidence_year,r_o,n,model
same,2019,0.5231484997673339,329,atomic
same,2020,0.5877807350544711,351,atomic
same,2021,0.5394542820852453,343,atomic
same,2022,0.5332064630712439,323,atomic
same,2023,0.5137286936488339,290,atomic
same,2024,0.6242326138567154,359,atomic
same,2025,0.6085135527916496,402,atomic
next,2019,0.45227464923286137,294,atomic
next,2020,0.4368361692309067,314,atomic
next,2021,0.4798182627286492,303,atomic
next,2022,0.46674708328179254,287,atomic
next,2023,0.48842497538132984,266,atomic
next,2024,0.5351406013407627,313,atomic
next,2025,0.5033907571215003,353,atomic
same,2019,0.5248087370503555,329,fouls_drawn
same,2020,0.5862530626794343,351,fouls_drawn
same,2021,0.530350215509025,343,fouls_drawn
same,2022,0.5345754604102637,323,fouls_drawn
same,2023,0.5164080164482031,290,fouls_drawn
same,2024,0.6289796160861224,359,fouls_drawn
same,2025,0.614651278910619,402,fouls_drawn
next,2019,0.4532158190116421,294,fouls_drawn
next,2020,0.44225195989381716,314,fouls_drawn
next,2021,0.47874672685455766,303,fouls_drawn
next,2022,0.4675565467017064,287,fouls_drawn
next,2023,0.4925134605082463,266,fouls_drawn
next,2024,0.5449792556238217,313,fouls_drawn
next,2025,0.5048631628308875,353,fouls_drawn
