season,target,processed,status,returncode
2025,995,995,complete,0.0
2024,443,443,complete,0.0
2023,601,601,complete,0.0
2022,482,482,complete,0.0
2021,437,437,complete,0.0
2020,295,295,complete,0.0
2019,293,293,complete,0.0
2018,345,345,complete,0.0
2017,461,461,complete,0.0
2016,421,421,complete,0.0
2015,482,0,queued,
2014,559,0,queued,
2013,273,0,queued,
2012,474,0,queued,
2011,354,0,queued,
2010,535,0,queued,
2009,359,0,queued,
2008,419,0,queued,
2007,518,0,queued,
2006,627,0,queued,
2005,421,0,queued,
2004,340,0,queued,
2003,449,0,queued,
2002,365,0,queued,
2001,266,0,queued,
2000,380,0,queued,
1999,384,0,queued,
1998,264,0,queued,
1997,441,0,queued,
1996,382,0,queued,
