season,target,processed,accepted,returncode
1996,140,140,79,0
1997,117,117,92,0
1998,60,60,41,0
1999,97,97,73,0
2000,91,91,70,0
2001,69,69,56,0
2002,83,83,70,0
2003,96,96,78,0
2004,73,73,52,0
2005,79,79,50,0
2006,140,140,101,0
2007,123,123,77,0
2008,110,110,82,0
2009,90,90,66,0
2010,123,123,88,0
2011,71,71,54,0
2012,95,95,53,0
2013,57,57,37,0
2014,122,122,89,0
2015,115,115,82,0
2016,103,103,64,0
2017,108,108,85,0
2018,72,72,54,0
2020,12,12,0,0
2021,27,27,0,0
2022,29,29,0,0
2023,36,36,0,0
2024,36,36,1,0
2025,27,27,1,0
