player_id,player_name,total_minutes,total_games,unresolved_minutes,unresolved_games,unresolved_minute_rate
1489,Lionel Simmons,487.48,39,334.88,22.0,0.6869615163699023
1629005,Malik Newman,11.36,2,7.68,1.0,0.676056338028169
1642013,Malik Williams,106.52000000000001,7,44.41,3.0,0.4169170108899736
1642884,Vladislav Goldin,23.961666666666666,9,9.483333333333333,2.0,0.3957710231619948
1631495,Donovan Williams,4.25,2,1.68,1.0,0.3952941176470588
1641815,Isaiah Stevens,48.333333333333336,6,18.983333333333334,1.0,0.39275862068965517
1630612,RJ Nembhard,62.73,14,21.4,1.0,0.3411445879164674
1642844,Dylan Harper,2173.3083333333334,92,668.895,25.0,0.3077773133893411
1642876,Adou Thiero,182.44333333333333,31,47.49,7.0,0.2603000018270513
1630545,Terrence Shannon Jr.,1136.561,93,292.37933333333336,22.0,0.2572491343036875
1628427,Vlatko Čančar,146.54533333333333,16,35.32533333333333,5.0,0.2410539628237906
1630525,David Johnson,1.99,2,0.47,1.0,0.23618090452261306
1630618,D.J. Carton,68.91,8,15.72,1.0,0.22812363952982154
51,Mahmoud Abdul-Rauf,3151.18,147,685.42,24.0,0.2175121700442374
1089,Kevin Salvadori,242.23,38,52.22,4.0,0.21558023366222187
1642868,Carter Bryant,1004.675,93,215.38166666666666,24.0,0.21437944277170892
721,Tyus Edney,2259.66,146,465.21,25.0,0.20587610525477285
1631096,Chet Holmgren,6430.4335,221,1301.7835,43.0,0.20244101739019615
1631241,Javon Freeman-Liberty,403.02,22,81.36,3.0,0.20187583742742296
1642450,Daniss Jenkins,1795.6966666666667,93,360.03333333333336,18.0,0.20049785691347277
1628384,OG Anunoby,7943.498666666666,227,1540.4853333333333,42.0,0.1939303319578409
81,Jeff Grayer,351.46,30,66.38,4.0,0.18886928811244522
1642349,Ajay Mitchell,2470.3415,116,462.70983333333334,26.0,0.18730601956585086
1642359,Pacôme Dadiet,291.31333333333333,56,53.93333333333333,10.0,0.18513856786507082
1628426,Sasha Vezenkov,510.82,42,93.93,6.0,0.18388081907521242
1628504,Xavier Rathan-Mayes,117.78,5,21.43,1.0,0.18194939718118525
1642264,Stephon Castle,4960.193333333334,172,888.7733333333333,28.0,0.17918118783004425
203999,Nikola Jokić,5635.6485,155,996.0385,25.0,0.17673893252923775
1077,Ray Owes,591.89,57,104.23,11.0,0.17609690989879878
1478,Stevin Smith,60.63,8,10.58,1.0,0.17450107207652976
1479,Mike Brown,81.15,5,14.15,1.0,0.17436845348120764
1642396,Blake Hinson,285.43333333333334,14,49.733333333333334,2.0,0.174238000700689
1630259,Jordan Ford,21.82,6,3.8,3.0,0.1741521539871677
1629875,Xavier Moon,275.85,28,47.87,2.0,0.17353634221497188
333,Kevin Gamble,953.64,62,164.23000000000002,15.0,0.1722138333123611
1642863,Khaman Maluach,460.9916666666667,51,79.17666666666668,8.0,0.17175292395017988
1641717,Cason Wallace,6504.289833333333,265,1112.1798333333334,46.0,0.17099173957987063
1627762,Joel Bolomboy,90.66,18,15.0,1.0,0.1654533421575116
1642867,Collin Murray-Boyles,1436.4083333333333,64,234.84333333333333,9.0,0.16349343559456747
