season_year,total_games,selected_games,unresolved_games,unresolved_rate
1996,1189,1150,39,0.03280067283431455
1997,1187,1183,4,0.003369839932603201
1998,725,720,5,0.006896551724137931
1999,1189,1189,0,0.0
2000,1189,1183,6,0.005046257359125316
2001,1189,1183,6,0.005046257359125316
2002,1189,1188,1,0.0008410428931875525
2003,1189,1186,3,0.002523128679562658
2004,1229,1223,6,0.004882017900732303
2005,1230,1221,9,0.007317073170731708
2006,1229,1214,15,0.012205044751830757
2007,1229,1202,27,0.021969080553295363
2008,1230,1225,5,0.0040650406504065045
2009,1229,1222,7,0.005695687550854353
2010,1230,1216,14,0.011382113821138212
2011,990,986,4,0.00404040404040404
2012,1229,1223,6,0.004882017900732303
2013,1230,1222,8,0.0065040650406504065
2014,1230,1220,10,0.008130081300813009
2015,1229,1216,13,0.010577705451586655
2016,1230,1215,15,0.012195121951219513
2017,1230,1219,11,0.00894308943089431
2018,1230,1226,4,0.0032520325203252032
2019,1058,1049,9,0.008506616257088847
2020,1080,1074,6,0.005555555555555556
2021,1230,1217,13,0.01056910569105691
2022,1230,1219,11,0.00894308943089431
2023,1229,1201,28,0.022782750203417412
2024,1230,1201,29,0.023577235772357725
2025,1215,1192,23,0.018930041152263374
