gid_n,possessions_seen,possessions_attached,n_away,n_home,pts_away,pts_home,expected_home,expected_away,attach_rate,home_point_error,away_point_error,possession_gap,pass_attach,pass_points,pass_balance,trusted,season_code
20000001,179,179,87.0,89.0,101.0,72.0,72.0,101.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000002,204,164,83.0,78.0,63.0,70.0,71.0,66.0,0.803921568627451,-1.0,-3.0,5.0,False,False,False,False,00
20000003,203,164,81.0,79.0,70.0,78.0,83.0,72.0,0.8078817733990148,-5.0,-2.0,2.0,False,False,True,False,00
20000004,186,186,93.0,93.0,106.0,82.0,82.0,106.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000005,208,176,86.0,87.0,91.0,78.0,78.0,91.0,0.8461538461538461,0.0,0.0,1.0,False,True,True,False,00
20000006,187,187,93.0,92.0,100.0,81.0,81.0,100.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000007,200,200,97.0,97.0,93.0,97.0,97.0,93.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000008,197,197,94.0,99.0,106.0,98.0,98.0,106.0,1.0,0.0,0.0,5.0,True,True,False,False,00
20000009,189,189,95.0,93.0,87.0,96.0,98.0,85.0,1.0,-2.0,2.0,2.0,True,False,True,False,00
20000010,194,194,97.0,95.0,94.0,107.0,107.00002081094294,94.00001389421188,1.0,-2.0810942942262045e-05,-1.3894211875253859e-05,2.0,True,True,True,True,00
20000011,208,206,102.0,104.0,94.0,96.0,95.99996695080789,94.00000686748375,0.9903846153846154,3.304919211188917e-05,-6.8674837478965856e-06,2.0,False,True,True,False,00
20000012,179,179,88.0,90.0,96.0,86.0,86.0,96.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000013,200,200,97.0,100.0,88.0,94.0,94.00005752790383,88.00006554116271,1.0,-5.7527903834397875e-05,-6.554116271217936e-05,3.0,True,True,True,True,00
20000014,206,206,105.0,98.0,88.0,98.0,103.0,83.0,1.0,-5.0,5.0,7.0,True,False,False,False,00
20000015,191,149,77.0,72.0,76.0,75.0,71.0,76.0,0.7801047120418848,4.0,0.0,5.0,False,False,False,False,00
20000016,211,211,105.0,103.0,79.0,105.0,105.0,79.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000017,191,166,82.0,81.0,88.0,71.0,77.0003303180605,94.99984737191328,0.8691099476439791,-6.000330318060506,-6.999847371913276,1.0,False,False,True,False,00
20000018,216,216,107.0,103.0,100.0,102.0,102.0,100.0,1.0,0.0,0.0,4.0,True,True,True,True,00
20000019,185,185,90.0,91.0,99.0,90.0,92.00000585240862,97.00001488221032,1.0,-2.00000585240862,1.9999851177896772,1.0,True,False,True,False,00
20000020,203,203,101.0,101.0,99.0,112.0,112.0,99.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000021,176,176,86.0,86.0,69.0,94.0,94.0,69.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000022,186,186,92.0,91.0,88.0,94.0,94.0,88.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000023,188,188,90.0,94.0,93.0,115.0,115.0,93.0,1.0,0.0,0.0,4.0,True,True,True,True,00
20000024,187,187,93.0,92.0,91.0,103.0,103.0,91.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000025,209,209,106.0,100.0,97.0,101.0,101.0,97.0,1.0,0.0,0.0,6.0,True,True,False,False,00
20000026,190,190,92.0,93.0,82.0,108.0,108.0,82.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000027,188,188,94.0,92.0,97.0,91.0,91.0,99.0,1.0,0.0,-2.0,2.0,True,False,True,False,00
20000028,196,181,91.0,88.0,85.0,89.0,93.00041698714162,90.99987802830452,0.923469387755102,-4.0004169871416195,-5.999878028304522,3.0,False,False,True,False,00
20000029,183,145,72.0,70.0,63.0,65.0,62.0,59.0,0.7923497267759563,3.0,4.0,2.0,False,False,True,False,00
20000030,211,209,100.0,105.0,85.0,79.0,80.00006799332704,87.00008985880473,0.990521327014218,-1.0000679933270362,-2.000089858804728,5.0,False,False,False,False,00
20000031,179,179,89.0,86.0,79.0,83.0,83.0,79.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000032,201,201,100.0,99.0,100.0,93.0,93.0,100.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000033,197,147,70.0,71.0,72.0,58.0,58.0,72.0,0.7461928934010152,0.0,0.0,1.0,False,True,True,False,00
20000034,192,138,67.0,68.0,61.0,64.0,64.0,59.0,0.71875,0.0,2.0,1.0,False,False,True,False,00
20000035,177,177,88.0,86.0,84.0,82.0,82.0,84.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000036,191,191,93.0,94.0,107.0,104.0,104.0,107.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000037,200,134,64.0,67.0,65.0,66.0,73.0,69.0,0.67,-7.0,-4.0,3.0,False,False,True,False,00
20000038,203,203,103.0,99.0,89.0,90.0,91.0,89.0,1.0,-1.0,0.0,4.0,True,False,True,False,00
20000039,186,186,91.0,91.0,81.0,94.0,94.0,81.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000040,199,199,98.0,97.0,88.0,97.0,97.0,88.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000041,195,195,96.0,95.0,91.0,99.0,99.0,91.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000042,187,187,91.0,92.0,112.0,106.0,106.0,112.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000043,209,209,105.0,102.0,102.0,99.0,99.0,102.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000044,191,191,92.0,92.0,74.0,77.0,77.0,74.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000045,205,205,100.0,102.0,117.0,105.0,105.0,117.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000046,192,192,96.0,94.0,97.0,90.0,90.0,97.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000047,201,201,99.0,100.0,97.0,90.0,89.0,98.0,1.0,1.0,-1.0,1.0,True,False,True,False,00
20000048,181,181,88.0,91.0,99.0,104.0,104.0,99.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000049,196,190,94.0,93.0,99.0,100.0,102.0,95.0,0.9693877551020408,-2.0,4.0,1.0,False,False,True,False,00
20000050,210,210,104.0,102.0,99.0,110.0,110.0,99.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000051,196,196,96.0,97.0,108.0,96.0,96.00000459120629,108.00003596824585,1.0,-4.591206291593153e-06,-3.59682458537236e-05,1.0,True,True,True,True,00
20000052,192,192,92.0,98.0,92.0,98.0,98.0,92.0,1.0,0.0,0.0,6.0,True,True,False,False,00
20000053,181,181,89.0,88.0,75.0,79.0,79.0,75.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000054,202,202,100.0,101.0,87.0,96.0,97.0,87.0,1.0,-1.0,0.0,1.0,True,False,True,False,00
20000055,204,161,80.0,80.0,58.0,91.0,93.0,58.0,0.7892156862745098,-2.0,0.0,0.0,False,False,True,False,00
20000056,192,167,81.0,84.0,82.0,70.0,77.0,85.0,0.8697916666666666,-7.0,-3.0,3.0,False,False,True,False,00
20000057,184,184,91.0,90.0,103.0,89.0,89.0,103.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000058,184,184,91.0,90.0,74.0,84.0,84.00002282984423,74.00000909066478,1.0,-2.2829844226635032e-05,-9.090664775612822e-06,1.0,True,True,True,True,00
20000059,199,199,99.0,95.0,81.0,98.0,100.0,81.0,1.0,-2.0,0.0,4.0,True,False,True,False,00
20000060,192,192,94.0,94.0,88.0,97.0,97.0,88.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000061,185,185,89.0,92.0,99.0,97.0,97.0,99.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000062,203,203,101.0,100.0,94.0,103.0,103.00004972863292,93.99999639774899,1.0,-4.972863291641261e-05,3.6022510130351293e-06,1.0,True,True,True,True,00
20000063,206,153,76.0,76.0,72.0,57.0,55.0,72.0,0.7427184466019418,2.0,0.0,0.0,False,False,True,False,00
20000064,197,197,96.0,100.0,96.0,90.0,90.0,96.0,1.0,0.0,0.0,4.0,True,True,True,True,00
20000065,186,186,92.0,92.0,81.0,87.0,87.0,81.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000066,182,182,89.0,90.0,97.0,106.0,108.0,97.0,1.0,-2.0,0.0,1.0,True,False,True,False,00
20000067,195,195,95.0,97.0,99.0,74.0,74.0,101.0,1.0,0.0,-2.0,2.0,True,False,True,False,00
20000068,181,181,89.0,91.0,81.0,91.0,91.0,81.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000069,197,197,98.0,98.0,105.0,111.0,109.0,107.0,1.0,2.0,-2.0,0.0,True,False,True,False,00
20000070,200,200,98.0,98.0,93.0,87.0,87.0,93.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000071,225,225,112.0,110.0,84.0,115.0,115.0,84.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000072,200,200,99.0,98.0,108.0,94.0,94.0,108.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000073,182,182,88.0,90.0,102.0,94.0,94.0,102.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000074,189,189,94.0,93.0,90.0,95.0,95.0,90.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000075,188,181,89.0,88.0,81.0,79.0,77.0,81.0,0.9627659574468085,2.0,0.0,1.0,False,False,True,False,00
20000076,178,178,86.0,89.0,78.0,85.0,85.0,78.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000077,194,194,93.0,97.0,79.0,88.0,88.0,79.0,1.0,0.0,0.0,4.0,True,True,True,True,00
20000078,185,185,91.0,92.0,91.0,107.0,107.0,91.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000079,202,202,97.0,100.0,103.0,101.0,101.0,103.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000080,191,177,88.0,87.0,78.0,72.0,73.95767953670831,86.0426803606486,0.9267015706806283,-1.9576795367083122,-8.042680360648603,1.0,False,False,True,False,00
20000081,190,184,91.0,92.0,88.0,113.0,115.0000247155641,88.00000985438713,0.968421052631579,-2.000024715564095,-9.854387130303621e-06,1.0,False,False,True,False,00
20000082,181,181,91.0,90.0,77.0,79.0,79.0,77.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000083,171,171,87.0,83.0,85.0,80.0,80.0,87.0,1.0,0.0,-2.0,4.0,True,False,True,False,00
20000084,192,192,95.0,95.0,106.0,115.0,115.0,106.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000085,228,228,111.0,110.0,114.0,107.0,107.0,114.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000086,171,171,83.0,86.0,67.0,81.0,81.0,67.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000087,208,179,88.0,89.0,81.0,108.0,108.0,81.0,0.8605769230769231,0.0,0.0,1.0,False,True,True,False,00
20000088,202,202,98.0,99.0,83.0,85.0,85.0,83.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000089,191,175,85.0,87.0,72.0,76.0,86.01547022285091,72.98515641543156,0.9162303664921466,-10.015470222850908,-0.9851564154315611,2.0,False,False,True,False,00
20000090,200,200,99.0,98.0,84.0,94.0,94.0,84.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000091,183,147,71.0,72.0,77.0,60.0,60.0,74.0,0.8032786885245902,0.0,3.0,1.0,False,False,True,False,00
20000092,181,181,90.0,89.0,103.0,92.0,92.00012375194251,102.99993948352703,1.0,-0.00012375194251035282,6.051647297056206e-05,1.0,True,True,True,True,00
20000093,190,190,92.0,98.0,78.0,91.0,91.0,78.0,1.0,0.0,0.0,6.0,True,True,False,False,00
20000094,202,202,99.0,96.0,82.0,84.0,84.0,82.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000095,191,191,91.0,98.0,88.0,111.0,111.0,88.0,1.0,0.0,0.0,7.0,True,True,False,False,00
20000096,191,191,96.0,94.0,92.0,101.0,101.0,92.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000097,204,204,99.0,101.0,79.0,95.0,95.0,79.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000098,191,191,92.0,97.0,99.0,105.0,105.0,99.0,1.0,0.0,0.0,5.0,True,True,False,False,00
20000099,221,221,109.0,110.0,105.0,99.0,99.0004143452088,104.99992493452456,1.0,-0.00041434520879590764,7.50654754426705e-05,1.0,True,True,True,True,00
20000100,191,191,95.0,95.0,84.0,109.0,109.0,84.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000101,192,153,75.0,76.0,81.0,60.0,60.0,77.0,0.796875,0.0,4.0,1.0,False,False,True,False,00
20000102,180,180,86.0,88.0,90.0,76.0,76.0,90.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000103,205,205,103.0,98.0,86.0,86.0,89.0,86.0,1.0,-3.0,0.0,5.0,True,False,False,False,00
20000104,190,190,91.0,93.0,97.0,99.0,99.00003742024207,96.99997865688476,1.0,-3.7420242065877574e-05,2.1343115236049925e-05,2.0,True,True,True,True,00
20000105,200,200,99.0,98.0,86.0,96.0,96.0,86.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000106,183,183,92.0,88.0,83.0,110.0,110.0,83.0,1.0,0.0,0.0,4.0,True,True,True,True,00
20000107,180,180,92.0,85.0,79.0,86.0,86.0,79.0,1.0,0.0,0.0,7.0,True,True,False,False,00
20000108,191,191,96.0,95.0,106.0,116.0,119.0,103.0,1.0,-3.0,3.0,1.0,True,False,True,False,00
20000109,196,196,94.0,98.0,82.0,96.0,96.0,82.0,1.0,0.0,0.0,4.0,True,True,True,True,00
20000110,188,188,94.0,91.0,75.0,96.0,96.0,75.0,1.0,0.0,0.0,3.0,True,True,True,True,00
