season_year,target_season,player_id,player_name,prior_model,poss_season,w_poss,prior_o,prior_d,m500_o,m500_d,m500,m2000_o,m2000_d,m2000,m4000_o,m4000_d,m4000,m8000_o,m8000_d,m8000,next_year,metric_o,metric_d,metric
1996,1996-97,2,Byron Scott,atomic_denominator,3562.3,3205.1,1.552,0.06,4.026,0.506,4.531,2.921,0.213,3.134,2.466,0.1,2.566,2.116,0.032,2.149,1997,2.466,0.1,2.566
1996,1996-97,3,Grant Long,atomic_denominator,2893.6,2525.6,0.183,0.871,-3.576,5.166,1.589,-2.157,3.356,1.199,-1.507,2.62,1.113,-0.986,2.04,1.054,1997,-1.507,2.62,1.113
1996,1996-97,7,Dan Schayes,atomic_denominator,1352.8,1329.4,-1.378,1.449,-5.663,4.102,-1.561,-3.083,2.547,-0.536,-2.373,2.106,-0.267,-1.962,1.819,-0.143,1997,-2.373,2.106,-0.267
1996,1996-97,9,Sedale Threatt,atomic_denominator,831.7,1136.0,-0.654,0.269,-0.948,-2.809,-3.757,-1.01,-1.038,-2.048,-0.884,-0.564,-1.448,-0.79,-0.253,-1.043,1997,-0.884,-0.564,-1.448
1996,1996-97,15,Eric Piatkowski,atomic_denominator,1818.5,1629.2,2.228,0.134,5.624,-1.731,3.893,4.069,-0.598,3.471,3.446,-0.302,3.144,2.971,-0.136,2.835,1997,3.446,-0.302,3.144
1996,1996-97,17,Clyde Drexler,atomic_denominator,6009.3,5991.1,3.535,0.843,3.75,1.076,4.826,3.166,1.375,4.541,3.108,1.266,4.374,3.136,1.119,4.255,1997,3.108,1.266,4.374
1996,1996-97,21,Greg Anthony,atomic_denominator,4856.5,4145.7,2.24,1.004,1.808,1.964,3.771,1.903,1.281,3.184,1.962,1.079,3.041,2.002,0.969,2.971,1997,1.962,1.079,3.041
1996,1996-97,22,Rik Smits,atomic_denominator,4902.2,4461.4,-0.251,0.626,-1.267,2.995,1.728,-0.432,2.037,1.605,-0.287,1.637,1.35,-0.27,1.333,1.063,1997,-0.287,1.637,1.35
1996,1996-97,23,Dennis Rodman,atomic_denominator,6523.9,6493.6,0.065,1.006,-2.668,3.077,0.41,-1.519,2.695,1.176,-1.074,2.419,1.345,-0.741,2.119,1.378,1997,-1.074,2.419,1.345
1996,1996-97,26,Luc Longley,atomic_denominator,4748.3,4920.7,-1.865,0.557,-3.523,2.438,-1.085,-2.6,2.095,-0.505,-2.375,1.809,-0.567,-2.255,1.511,-0.744,1997,-2.375,1.809,-0.567
1996,1996-97,28,Doug West,atomic_denominator,4717.6,4115.9,-1.724,0.229,-1.102,-1.935,-3.037,-1.821,-0.574,-2.395,-1.901,-0.207,-2.108,-1.898,-0.006,-1.904,1997,-1.901,-0.207,-2.108
1996,1996-97,29,Jim McIlvaine,atomic_denominator,3786.6,3262.0,-2.285,3.406,-3.139,3.585,0.446,-2.307,3.205,0.899,-2.187,3.171,0.984,-2.21,3.22,1.01,1997,-2.187,3.171,0.984
1996,1996-97,31,Lorenzo Williams,atomic_denominator,662.7,578.7,-1.397,1.077,0.092,1.801,1.893,-0.826,1.056,0.231,-1.089,0.953,-0.136,-1.241,0.94,-0.302,1997,-1.089,0.953,-0.136
1996,1996-97,32,Clifford Rozier,atomic_denominator,1836.9,1645.5,-0.917,2.036,-2.632,1.825,-0.806,-1.543,1.69,0.147,-1.227,1.708,0.481,-1.059,1.761,0.702,1997,-1.227,1.708,0.481
1996,1996-97,36,Sarunas Marciulionis,atomic_denominator,534.7,416.0,-1.015,-0.087,-0.185,-2.382,-2.566,-0.843,-0.849,-1.692,-0.936,-0.524,-1.461,-0.978,-0.357,-1.334,1997,-0.936,-0.524,-1.461
1996,1996-97,37,Greg Graham,atomic_denominator,477.1,486.1,1.257,0.154,3.075,-3.438,-0.363,2.05,-1.409,0.642,1.73,-0.773,0.957,1.521,-0.384,1.137,1997,1.73,-0.773,0.957
1996,1996-97,38,Brad Lohaus,atomic_denominator,134.1,109.2,0.113,0.691,-1.487,-2.369,-3.856,-0.31,-0.285,-0.595,-0.104,0.144,0.04,-0.001,0.371,0.37,1997,-0.104,0.144,0.04
1996,1996-97,42,Monty Williams,atomic_denominator,3380.8,2910.1,-0.914,0.828,-1.195,2.249,1.054,-1.311,1.632,0.321,-1.316,1.349,0.033,-1.278,1.135,-0.143,1997,-1.316,1.349,0.033
1996,1996-97,43,Chris Whitney,atomic_denominator,2751.0,2351.2,1.784,-0.201,0.172,-0.277,-0.105,0.717,0.209,0.925,1.099,0.148,1.247,1.4,0.023,1.423,1997,1.099,0.148,1.247
1996,1996-97,45,George McCloud,atomic_denominator,3981.2,3327.9,1.662,0.011,2.912,-0.093,2.82,2.177,-0.234,1.943,1.907,-0.255,1.652,1.734,-0.229,1.505,1997,1.907,-0.255,1.652
1996,1996-97,47,Wayman Tisdale,atomic_denominator,1865.6,1684.4,-2.626,-0.201,-5.182,-1.427,-6.609,-3.557,-1.316,-4.873,-3.054,-1.072,-4.125,-2.788,-0.816,-3.603,1997,-3.054,-1.072,-4.125
1996,1996-97,49,Gheorghe Muresan,atomic_denominator,4591.6,4031.4,-0.173,2.644,-0.465,8.388,7.923,-0.398,6.156,5.758,-0.307,4.978,4.672,-0.221,4.027,3.806,1997,-0.307,4.978,4.672
