season_year,evidence_source,games,trusted_stint_level,aggregate_fallback
1996,canonical_regular,1150,1148,2
1996,deterministic_regular_salvage,9,9,0
1996,repaired_playoff,71,69,2
1997,canonical_regular,1183,1182,1
1997,deterministic_regular_salvage,4,4,0
1997,repaired_playoff,70,70,0
1998,canonical_regular,720,717,3
1998,deterministic_regular_salvage,5,5,0
1998,repaired_playoff,66,65,1
1999,canonical_regular,1189,1188,1
1999,repaired_playoff,75,75,0
2000,canonical_regular,1183,1181,2
2000,deterministic_regular_salvage,6,6,0
2000,repaired_playoff,71,71,0
2001,canonical_regular,1183,1179,4
2001,deterministic_regular_salvage,6,6,0
2001,repaired_playoff,71,71,0
2002,canonical_regular,1188,1186,2
2002,deterministic_regular_salvage,1,1,0
2002,repaired_playoff,88,84,4
2003,canonical_regular,1186,1183,3
2003,deterministic_regular_salvage,3,3,0
2003,repaired_playoff,82,82,0
2004,canonical_regular,1223,1218,5
2004,deterministic_regular_salvage,6,6,0
2004,repaired_playoff,84,83,1
2005,canonical_regular,1221,1217,4
2005,deterministic_regular_salvage,9,9,0
2005,repaired_playoff,89,88,1
2006,canonical_regular,1214,1213,1
2006,deterministic_regular_salvage,15,15,0
2006,repaired_playoff,79,79,0
2007,canonical_regular,1202,1200,2
2007,deterministic_regular_salvage,27,27,0
2007,repaired_playoff,86,85,1
2008,canonical_regular,1225,1223,2
2008,deterministic_regular_salvage,5,5,0
2008,repaired_playoff,85,84,1
2009,canonical_regular,1222,1221,1
2009,deterministic_regular_salvage,7,7,0
2009,repaired_playoff,82,81,1
2010,canonical_regular,1216,1213,3
2010,deterministic_regular_salvage,14,14,0
2010,repaired_playoff,81,80,1
2011,canonical_regular,986,984,2
2011,deterministic_regular_salvage,4,4,0
2011,repaired_playoff,84,83,1
2012,canonical_regular,1223,1219,4
2012,deterministic_regular_salvage,6,6,0
2012,repaired_playoff,85,83,2
2013,canonical_regular,1222,1221,1
2013,deterministic_regular_salvage,8,8,0
2013,repaired_playoff,89,88,1
2014,canonical_regular,1220,1217,3
2014,deterministic_regular_salvage,10,10,0
2014,repaired_playoff,81,81,0
2015,canonical_regular,1216,1213,3
2015,deterministic_regular_salvage,13,13,0
2015,repaired_playoff,86,85,1
2016,canonical_regular,1215,1214,1
2016,deterministic_regular_salvage,15,15,0
2016,repaired_playoff,79,78,1
2017,canonical_regular,1219,1217,2
2017,deterministic_regular_salvage,11,11,0
2017,repaired_playoff,82,81,1
2018,canonical_regular,1226,1224,2
2018,deterministic_regular_salvage,4,4,0
2018,repaired_playoff,82,82,0
2019,canonical_regular,1049,971,78
2019,deterministic_regular_salvage,7,7,0
2019,repaired_playoff,78,77,1
2020,canonical_regular,1074,1074,0
2020,deterministic_regular_salvage,6,6,0
2020,repaired_playoff,90,89,1
2021,canonical_regular,1217,1217,0
2021,deterministic_regular_salvage,13,13,0
2021,repaired_playoff,87,87,0
2022,canonical_regular,1219,1218,1
2022,deterministic_regular_salvage,11,11,0
2022,repaired_playoff,84,83,1
2023,canonical_regular,1201,1201,0
2023,deterministic_regular_salvage,23,23,0
2023,repaired_playoff,82,82,0
2024,canonical_regular,1201,1201,0
2024,deterministic_regular_salvage,25,25,0
2024,repaired_playoff,84,83,1
2025,canonical_regular,1192,1192,0
2025,deterministic_regular_salvage,16,16,0
2025,repaired_playoff,78,70,8
