season_year,target_season,player_id,player_name,poss_season,w_poss,prior_o,prior_d,m500_o,m500_d,m500,m2000_o,m2000_d,m2000,m4000_o,m4000_d,m4000,m8000_o,m8000_d,m8000,next_year,metric_o,metric_d,metric
1996,1996-97,2,Byron Scott,3562.3,3205.1,2.165,-0.664,4.285,0.309,4.594,3.41,-0.173,3.237,3.022,-0.369,2.653,2.712,-0.506,2.206,1997,3.022,-0.369,2.653
1996,1996-97,3,Grant Long,2893.6,2525.6,-1.25,1.278,-4.19,5.513,1.323,-3.075,3.823,0.748,-2.554,3.088,0.534,-2.135,2.495,0.361,1997,-2.554,3.088,0.534
1996,1996-97,7,Dan Schayes,1352.8,1329.4,-3.137,2.516,-6.752,4.749,-2.004,-4.6,3.54,-1.06,-3.983,3.169,-0.814,-3.617,2.906,-0.711,1997,-3.983,3.169,-0.814
1996,1996-97,9,Sedale Threatt,831.7,1136.0,0.402,-0.592,0.111,-3.466,-3.355,0.118,-1.762,-1.644,0.227,-1.306,-1.079,0.305,-1.019,-0.714,1997,0.227,-1.306,-1.079
1996,1996-97,15,Eric Piatkowski,1818.5,1629.2,3.807,-1.523,6.445,-2.355,4.089,5.252,-1.572,3.68,4.767,-1.462,3.304,4.399,-1.46,2.939,1997,4.767,-1.462,3.304
1996,1996-97,17,Clyde Drexler,6009.3,5991.1,4.176,0.508,4.404,0.573,4.977,3.968,0.881,4.849,3.928,0.804,4.732,3.946,0.692,4.638,1997,3.928,0.804,4.732
1996,1996-97,21,Greg Anthony,4856.5,4145.7,4.397,-0.265,3.074,1.381,4.455,3.507,0.54,4.047,3.71,0.24,3.95,3.886,0.022,3.908,1997,3.71,0.24,3.95
1996,1996-97,22,Rik Smits,4902.2,4461.4,-0.576,1.908,-1.836,3.478,1.643,-1.012,2.879,1.867,-0.777,2.605,1.828,-0.659,2.395,1.736,1997,-0.777,2.605,1.828
1996,1996-97,23,Dennis Rodman,6523.9,6493.6,-3.103,3.772,-3.481,3.532,0.051,-3.19,3.886,0.696,-3.227,4.049,0.822,-3.306,4.144,0.838,1997,-3.227,4.049,0.822
1996,1996-97,26,Luc Longley,4748.3,4920.7,-1.925,1.34,-3.89,2.597,-1.294,-3.031,2.573,-0.458,-2.752,2.403,-0.349,-2.549,2.18,-0.369,1997,-2.752,2.403,-0.349
1996,1996-97,28,Doug West,4717.6,4115.9,-1.646,0.69,-0.266,-2.46,-2.726,-0.964,-0.97,-1.934,-1.165,-0.436,-1.6,-1.31,-0.053,-1.363,1997,-1.165,-0.436,-1.6
1996,1996-97,29,Jim McIlvaine,3786.6,3262.0,-5.028,4.594,-3.981,4.064,0.083,-3.789,4.082,0.293,-4.006,4.195,0.189,-4.323,4.35,0.027,1997,-4.006,4.195,0.189
1996,1996-97,31,Lorenzo Williams,662.7,578.7,-4.993,2.787,-1.941,2.838,0.897,-3.832,2.587,-1.246,-4.361,2.6,-1.761,-4.66,2.642,-2.017,1997,-4.361,2.6,-1.761
1996,1996-97,32,Clifford Rozier,1836.9,1645.5,-2.265,2.36,-3.293,1.937,-1.357,-2.614,2.033,-0.582,-2.44,2.112,-0.328,-2.356,2.187,-0.169,1997,-2.44,2.112,-0.328
1996,1996-97,36,Sarunas Marciulionis,534.7,416.0,-1.773,-1.749,-0.372,-3.463,-3.835,-1.304,-2.292,-3.596,-1.506,-2.058,-3.564,-1.619,-1.941,-3.56,1997,-1.506,-2.058,-3.564
1996,1996-97,37,Greg Graham,477.1,486.1,3.589,-2.703,4.535,-5.075,-0.541,4.066,-3.726,0.34,3.897,-3.291,0.606,3.777,-3.031,0.746,1997,3.897,-3.291,0.606
1996,1996-97,38,Brad Lohaus,134.1,109.2,-1.374,-2.898,-2.848,-5.351,-8.2,-1.771,-3.668,-5.439,-1.57,-3.322,-4.893,-1.467,-3.14,-4.607,1997,-1.57,-3.322,-4.893
1996,1996-97,42,Monty Williams,3380.8,2910.1,-0.57,0.124,-1.25,2.221,0.971,-1.184,1.375,0.191,-1.091,0.958,-0.134,-0.975,0.635,-0.339,1997,-1.091,0.958,-0.134
1996,1996-97,43,Chris Whitney,2751.0,2351.2,3.996,-1.687,1.479,-1.11,0.369,2.356,-0.813,1.543,2.865,-0.953,1.912,3.298,-1.168,2.13,1997,2.865,-0.953,1.912
1996,1996-97,45,George McCloud,3981.2,3327.9,2.904,-0.95,3.168,-0.251,2.917,2.774,-0.482,2.292,2.688,-0.608,2.08,2.682,-0.723,1.959,1997,2.688,-0.608,2.08
1996,1996-97,47,Wayman Tisdale,1865.6,1684.4,-3.346,0.302,-5.618,-1.13,-6.747,-4.175,-0.782,-4.956,-3.713,-0.486,-4.199,-3.46,-0.219,-3.68,1997,-3.713,-0.486,-4.199
1996,1996-97,49,Gheorghe Muresan,4591.6,4031.4,-2.241,4.392,-1.225,8.867,7.642,-1.631,7.151,5.519,-1.783,6.236,4.454,-1.898,5.495,3.597,1997,-1.783,6.236,4.454
1996,1996-97,51,Mahmoud Abdul-Rauf,5000.7,4234.8,2.582,-2.059,2.701,-2.508,0.192,2.171,-2.238,-0.067,2.22,-2.163,0.057,2.346,-2.125,0.221,1997,2.22,-2.163,0.057
1996,1996-97,52,Micheal Williams,143.7,135.9,0.0,-0.0,0.763,1.627,2.39,0.199,0.579,0.777,0.097,0.316,0.413,0.051,0.154,0.204,1997,0.097,0.316,0.413
1996,1996-97,53,Mario Elie,6938.0,6772.0,2.346,-0.058,3.917,0.335,4.252,2.966,0.297,3.262,2.634,0.158,2.791,2.42,0.049,2.469,1997,2.634,0.158,2.791
1996,1996-97,54,Dickey Simpkins,1130.3,997.3,-2.276,-1.599,-6.396,-0.609,-7.004,-4.057,-1.348,-5.405,-3.299,-1.536,-4.836,-2.832,-1.613,-4.444,1997,-3.299,-1.536,-4.836
1996,1996-97,55,Marty Conlon,4131.9,3622.8,-0.856,0.416,-1.246,-0.69,-1.937,-0.791,-0.556,-1.348,-0.676,-0.48,-1.155,-0.659,-0.334,-0.993,1997,-0.676,-0.48,-1.155
1996,1996-97,56,Gary Payton,8957.6,8493.5,4.826,-0.589,4.075,0.923,4.998,4.082,0.54,4.622,4.166,0.38,4.546,4.287,0.218,4.505,1997,4.166,0.38,4.546
1996,1996-97,57,Doug Christie,7669.5,6551.4,2.743,0.512,2.909,0.785,3.695,2.484,0.688,3.172,2.443,0.636,3.079,2.467,0.593,3.06,1997,2.443,0.636,3.079
1996,1996-97,61,Carl Herrera,4595.9,3977.0,-2.726,1.413,-4.739,3.083,-1.656,-4.01,2.33,-1.679,-3.678,2.049,-1.629,-3.408,1.842,-1.566,1997,-3.678,2.049,-1.629
1996,1996-97,63,Michael Smith,5933.6,5064.3,-2.085,2.607,-1.171,1.59,0.419,-1.333,1.9,0.567,-1.506,2.11,0.604,-1.674,2.288,0.614,1997,-1.506,2.11,0.604
1996,1996-97,64,Sam Perkins,5313.1,5028.6,1.985,1.664,-1.397,2.462,1.065,-0.408,2.643,2.235,0.143,2.596,2.74,0.687,2.441,3.128,1997,0.143,2.596,2.74
1996,1996-97,65,Greg Minor,1351.9,1099.1,0.561,-1.785,-1.312,1.946,0.634,-0.596,0.249,-0.346,-0.207,-0.519,-0.726,0.105,-1.088,-0.983,1997,-0.207,-0.519,-0.726
1996,1996-97,67,Tom Hammonds,4098.3,3520.4,-3.194,1.11,-0.941,-1.38,-2.321,-1.703,-0.62,-2.323,-2.164,-0.206,-2.37,-2.541,0.173,-2.368,1997,-2.164,-0.206,-2.37
1996,1996-97,70,Steve Kerr,5547.3,5369.8,2.721,-0.271,2.275,1.31,3.585,2.252,0.682,2.934,2.299,0.423,2.722,2.352,0.238,2.59,1997,2.299,0.423,2.722
1996,1996-97,71,Pooh Richardson,2633.5,2193.4,1.489,-1.09,2.912,-0.853,2.059,1.652,-0.566,1.086,1.509,-0.713,0.796,1.494,-0.874,0.62,1997,1.509,-0.713,0.796
1996,1996-97,72,Kenny Anderson,6767.1,6022.8,4.975,-0.893,7.795,-2.111,5.684,6.303,-1.198,5.105,5.837,-0.979,4.857,5.522,-0.876,4.646,1997,5.837,-0.979,4.857
1996,1996-97,73,Hot Rod Williams,5325.0,4784.8,-2.592,4.405,-5.379,6.576,1.197,-3.562,5.173,1.611,-2.935,4.711,1.776,-2.59,4.462,1.873,1997,-2.935,4.711,1.776
1996,1996-97,76,Cedric Ceballos,3504.8,3160.7,1.19,-1.494,2.763,-0.912,1.851,2.015,-1.256,0.76,1.749,-1.379,0.37,1.57,-1.461,0.109,1997,1.749,-1.379,0.37
1996,1996-97,77,Doug Overton,1593.5,1373.7,1.35,-1.142,2.694,-1.065,1.629,1.687,-0.771,0.917,1.564,-0.901,0.663,1.518,-1.048,0.47,1997,1.564,-0.901,0.663
1996,1996-97,78,LaSalle Thompson,228.5,191.0,-5.188,1.32,-3.478,-0.676,-4.154,-4.581,0.66,-3.921,-4.848,0.948,-3.901,-4.999,1.101,-3.898,1997,-4.848,0.948,-3.901
1996,1996-97,80,Ken Norman,552.7,443.3,-1.839,-0.973,-3.029,-1.99,-5.02,-2.167,-1.365,-3.532,-2.0,-1.202,-3.202,-1.917,-1.113,-3.03,1997,-2.0,-1.202,-3.202
1996,1996-97,81,Jeff Grayer,760.6,662.4,-1.787,0.215,-1.144,1.419,0.275,-1.41,0.643,-0.767,-1.531,0.42,-1.112,-1.623,0.294,-1.328,1997,-1.531,0.42,-1.112
1996,1996-97,82,Bill Wennington,2200.7,1856.1,-2.145,1.754,-3.95,-1.516,-5.466,-3.003,-0.019,-3.021,-2.683,0.636,-2.047,-2.472,1.117,-1.355,1997,-2.683,0.636,-2.047
1996,1996-97,84,Latrell Sprewell,8091.0,6874.4,4.823,-0.875,4.48,-0.191,4.289,5.061,-1.183,3.878,5.196,-1.482,3.714,5.217,-1.581,3.637,1997,5.196,-1.482,3.714
1996,1996-97,85,Brent Price,1145.5,1000.5,3.388,-2.585,6.845,-5.553,1.292,4.788,-3.674,1.114,4.18,-3.202,0.979,3.813,-2.933,0.88,1997,4.18,-3.202,0.979
1996,1996-97,87,Dikembe Mutombo,7731.1,7248.0,-2.767,6.297,-9.073,12.58,3.508,-6.628,9.746,3.117,-5.547,8.614,3.067,-4.701,7.793,3.092,1997,-5.547,8.614,3.067
1996,1996-97,88,Steve Scheffler,67.4,56.9,-3.588,-1.095,-3.74,-1.434,-5.174,-3.567,-1.264,-4.83,-3.555,-1.214,-4.769,-3.557,-1.184,-4.741,1997,-3.555,-1.214,-4.769
