model,horizon,evidence_year,r_total,r_o,r_d,n
v1,same,2019,0.5100599928826076,0.5712260108943251,0.5329990196045745,329
v1,same,2020,0.5280452389111626,0.595661737786297,0.4551475489375259,351
v1,same,2021,0.4361511888549237,0.5466678284190802,0.4326355475126551,343
v1,same,2022,0.5287754221615687,0.5460755086598807,0.43575918617053977,323
v1,same,2023,0.5680327981208074,0.5480843123164474,0.4948783476239072,290
v1,same,2024,0.5728958444428627,0.6101170056787965,0.547321828744174,359
v1,same,2025,0.5231111514593242,0.6071525297283431,0.5275988651655127,402
v1,next,2019,0.41999181532210345,0.43786888765956195,0.4821235427188026,294
v1,next,2020,0.4236197279109205,0.46923118256824875,0.41167155917741616,314
v1,next,2021,0.328728048897145,0.4658944830899806,0.3699028526606846,303
v1,next,2022,0.45337617495102833,0.42114093823912757,0.3956104296367332,287
v1,next,2023,0.4318277233446221,0.4913249322453808,0.3741513801693705,266
v1,next,2024,0.5149222749457127,0.5299758318570994,0.5192556321415691,313
v1,next,2025,0.4058008579408593,0.4752843728467552,0.43528861019952847,353
atomic_raw,same,2019,0.44921878348937566,0.5213046385984859,0.5353852039057808,329
atomic_raw,same,2020,0.5096497072735787,0.5882065922975213,0.4336675102541702,351
atomic_raw,same,2021,0.4450974126776649,0.5376032975255259,0.4755304023789178,343
atomic_raw,same,2022,0.5413003508480602,0.53218765342812,0.49549824815977267,323
atomic_raw,same,2023,0.5395535372177089,0.5139624554690101,0.5212390416982098,290
atomic_raw,same,2024,0.5681661203203886,0.6231126752238417,0.5421424198302742,359
atomic_raw,same,2025,0.5051539661258906,0.6072002832463139,0.5211543450841131,402
atomic_raw,next,2019,0.435308732473705,0.44088294827280416,0.502531527223712,294
atomic_raw,next,2020,0.40663774342798603,0.4449646375845753,0.3980399496567897,314
atomic_raw,next,2021,0.35850985893713133,0.4797297258155012,0.37609524468163463,303
atomic_raw,next,2022,0.419719444381038,0.41830302172167866,0.3788616022973345,287
atomic_raw,next,2023,0.43786637591529554,0.48469602626904157,0.3970642904879188,266
atomic_raw,next,2024,0.4863307600830032,0.5307064390017427,0.5004411220014732,313
atomic_raw,next,2025,0.4261500661999144,0.49355052280660644,0.44125291636283875,353
atomic_denom,same,2019,0.45224565473169936,0.5231484997673339,0.5410454622348422,329
atomic_denom,same,2020,0.5119961266907584,0.5877807350544711,0.4370887366333226,351
atomic_denom,same,2021,0.44532182728853104,0.5394542820852453,0.47775132126565767,343
atomic_denom,same,2022,0.5439429926578234,0.5332064630712439,0.49927815211460935,323
atomic_denom,same,2023,0.5417175082920171,0.5137286936488339,0.5242739907958225,290
atomic_denom,same,2024,0.574569819677149,0.6242326138567154,0.550816756551505,359
atomic_denom,same,2025,0.5153531213292561,0.6085135527916496,0.5357144596086582,402
atomic_denom,next,2019,0.4371820805929771,0.45227464923286137,0.5139803778345157,294
atomic_denom,next,2020,0.4145593116621653,0.4368361692309067,0.4075908540080509,314
atomic_denom,next,2021,0.3635165255475109,0.4798182627286492,0.39889680611111367,303
atomic_denom,next,2022,0.48187185613978156,0.46674708328179254,0.4014061381479905,287
atomic_denom,next,2023,0.43330233661064493,0.48842497538132984,0.39588504355496734,266
atomic_denom,next,2024,0.5023916225079071,0.5351406013407627,0.5339263363144221,313
atomic_denom,next,2025,0.4351233146642555,0.5033907571215003,0.4575957184472068,353
