features,weight,target,alpha,dev_r,dev_slope,test_r,test_slope,next_r,next_slope,n_test,n_next
v1,poss,orapm,0.1,0.6112845040072045,1.1546660199568695,0.5739731514649902,1.05726663189976,0.46791376021530456,0.8238511171177165,2397,2130.0
v1,poss,drapm,1.0,0.36802445045624554,0.8023291532619683,0.49134214920865754,1.2591479400572951,0.4301039074063361,1.0617863001173622,2397,2130.0
v1,se,orapm,0.1,0.5560740893665408,1.4573029211308697,0.4894775338823797,1.3395208032962276,0.4377894819394723,1.1366170279214767,2397,2130.0
v1,se,drapm,0.1,0.33650290653960035,1.0425000107213276,0.42163262357219283,1.737396424974459,0.38272096484038154,1.516096786155775,2397,2130.0
atomic,poss,orapm,0.1,0.6042931748443782,1.1464875207627316,0.557520139612812,1.1030243833102433,0.4582642955916705,0.8507403045839288,2397,2130.0
atomic,poss,drapm,200.0,0.42224763170109475,1.1252336530776357,0.5026646166007224,1.2949171194343656,0.43101960781243503,1.0452576004989136,2397,2130.0
atomic,se,orapm,0.1,0.5269676322504471,1.4428503337173815,0.47007616836881894,1.4218307040929794,0.4251148713164743,1.217023534407908,2397,2130.0
atomic,se,drapm,0.1,0.3708287469028693,1.4056099601394945,0.4328885608687457,1.8321764114973573,0.4080938180837669,1.6919947893763851,2397,2130.0
v1,poss,total_same,,,,0.521932167973003,,,,2397,
v1,poss,total_next,,,,0.4233087782438093,,,,2130,
v1,se,total_same,,,,0.44185947988942764,,,,2397,
v1,se,total_next,,,,0.37181114748787497,,,,2130,
atomic,poss,total_same,,,,0.5073473647987397,,,,2397,
atomic,poss,total_next,,,,0.4162297496669042,,,,2130,
atomic,se,total_same,,,,0.4066507586459969,,,,2397,
atomic,se,total_next,,,,0.36162563736548625,,,,2130,
