gid,source,sig,stints,seconds
29600009,stints_full_1996.parquet,7db8ba9ea6bb19f5c0a2082fb3b83f7df6acfe70,25,2880.0
29600021,stints_full_1996.parquet,743563682486bf50a0844a944972b08463be4ccb,27,2880.0
29600039,stints_full_1996.parquet,b10a4dfd87e7c1246e93fa6f9ea4768f3ad964a2,30,2880.0
29600069,stints_full_1996.parquet,b1e4b9d8df7824df0395de4063be6bad819a07c2,33,2880.0
29600078,stints_full_1996.parquet,2198c6ea6a06f7aefb3eea0d8dda1763084bf761,28,2880.0
29600096,stints_full_1996.parquet,d091be1a9bb681da9e33f30f1e19bff06ce2a7c0,20,2880.0
29600113,stints_full_1996.parquet,4babb935fc6c9371b3d137239bc5ff6a6b947f95,27,2880.0
29600123,stints_full_1996.parquet,2847d8fc69b604cb9b4a2c5a34c27f2e16463058,28,2880.0
29600158,stints_full_1996.parquet,f0c441e1526cc12795cadc8639d1418d14104fdb,35,3480.0
29600171,stints_full_1996.parquet,261d03fd67efb16d42f2c8370af28dba201b697e,29,2880.0
29600182,stints_full_1996.parquet,511d4bed1b9f1970e529378de41a6a6b3890599e,28,2880.0
29600197,stints_full_1996.parquet,379050a75358035b56dbd43d5432f579295ca505,31,2880.0
29600218,stints_full_1996.parquet,17f008225ae1f44030bbda693c1b809c8dc5b584,24,2880.0
29600229,stints_full_1996.parquet,50ce05a853e884668a32458b42998459eae5050c,29,2880.0
29600272,stints_full_1996.parquet,f33ac234a85811ef7e3987e2dfcf01296935fe84,20,2880.0
29600565,stints_full_1996.parquet,ffed9a16b3ad6a5436c6abfd9d64e0602f68f6b8,28,2880.0
29600664,stints_full_1996.parquet,26060b0398b1f1ff683c27c5a6c791dbb7a803c5,29,2880.0
29600837,stints_full_1996.parquet,3f6379d957658aa7061e225e3da1685eb05f4d32,28,2880.0
29600954,stints_full_1996.parquet,9e12ff53cfe2b68d98a9a2f0a832d9200169b332,31,3180.0
29600973,stints_full_1996.parquet,bed7429df7049dc60d4d666ce49b1f078e85c07b,29,3180.0
