game_id,season_year,offense_lineup_id,core,player_a,player_b,defense_lineup_a,defense_lineup_b,strict_rim_access_y_a,strict_rim_access_n_a,strict_rim_access_y_b,strict_rim_access_n_b,broad_rim_access_y_a,broad_rim_access_n_a,broad_rim_access_y_b,broad_rim_access_n_b,recorded_rim_attempt_y_a,recorded_rim_attempt_n_a,recorded_rim_attempt_y_b,recorded_rim_attempt_n_b,restricted_area_foul_y_a,restricted_area_foul_n_a,restricted_area_foul_y_b,restricted_area_foul_n_b,rim_fg_pct_y_a,rim_fg_pct_n_a,rim_fg_pct_y_b,rim_fg_pct_n_b
22200001,2022,200782-201935-202699-1626149-1630178,203935-1627759-1627763-1628369,201933,1628401,201933-203935-1627759-1627763-1628369,203935-1627759-1627763-1628369-1628401,1.0,3.0,0.0,12.0,1.0,3.0,0.0,12.0,1.0,3.0,0.0,12.0,0.0,3.0,0.0,12.0,0.0,1.0,0.0,0.0
22200001,2022,200782-201935-202699-1626149-1630178,203935-1627759-1627763-1628369,201933,203943,201933-203935-1627759-1627763-1628369,203935-203943-1627759-1627763-1628369,1.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
22200001,2022,200782-201935-202699-1626149-1630178,203935-1627759-1627763-1628369,203943,1628401,203935-203943-1627759-1627763-1628369,203935-1627759-1627763-1628369-1628401,0.0,3.0,0.0,12.0,0.0,3.0,0.0,12.0,0.0,3.0,0.0,12.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0
22200001,2022,200782-201935-202699-1626149-1630178,203935-203943-1627759-1627763,1628369,1629684,203935-203943-1627759-1627763-1628369,203935-203943-1627759-1627763-1629684,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
22200001,2022,200782-201935-202699-203954-1630178,203935-1627759-1628369-1628401,201143,203943,201143-203935-1627759-1628369-1628401,203935-203943-1627759-1628369-1628401,1.0,6.0,0.0,3.0,1.0,6.0,0.0,3.0,1.0,6.0,0.0,3.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0
22200001,2022,200782-201935-202699-203954-1630178,203935-203943-1627759-1628369,1628401,1629684,203935-203943-1627759-1628369-1628401,203935-203943-1627759-1628369-1629684,0.0,3.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
22200001,2022,201933-1627763-1628369-1628401-1629684,201935-1626149-1627863-1629001,1627777,1629680,201935-1626149-1627777-1627863-1629001,201935-1626149-1627863-1629001-1629680,1.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
22200001,2022,201935-1626149-1627777-1627863-1629001,1627763-1628369-1628401-1629684,201933,203935,201933-1627763-1628369-1628401-1629684,203935-1627763-1628369-1628401-1629684,0.0,4.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
22200001,2022,201935-1626149-1627863-1629001-1630178,203935-1627763-1628369-1628401,203943,1629684,203935-203943-1627763-1628369-1628401,203935-1627763-1628369-1628401-1629684,0.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
22200001,2022,201935-202699-1626149-1627863-1629001,203935-1627759-1627763-1629684,201933,1628369,201933-203935-1627759-1627763-1629684,203935-1627759-1627763-1628369-1629684,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0
