season_year,defense_team_id,hc6_risk,hc6_rim_possessions,hc6_rim_attempts,hc6_rim_makes,oreb_possessions,second_chance_rim_possessions,second_chance_rim_attempts,second_chance_rim_makes,explicit_putback_possessions,unknown_shooting_fouls_hc6,high_confidence_rim_fouls,first_chance_rim_frequency_hc6,first_chance_rim_fg_pct,second_chance_rim_per_oreb_possession,second_chance_rim_fg_pct,explicit_putback_per_oreb_possession,unknown_shooting_foul_frequency_hc6,high_confidence_rim_foul_per_rim_attempt
2021,1610612737,6958,1384,1384.0,898.0,1073,385,427.0,257.0,265,392,136,0.19890773210692728,0.6488439306358381,0.35880708294501396,0.6018735362997658,0.24697110904007455,0.056338028169014086,0.09826589595375723
2021,1610612738,6954,1011,1011.0,650.0,1157,367,405.0,255.0,254,424,103,0.1453839516824849,0.6429277942631059,0.317199654278306,0.6296296296296297,0.219533275713051,0.060972102387115326,0.10187932739861523
2021,1610612739,6777,1476,1476.0,867.0,1130,403,445.0,242.0,270,398,109,0.21779548472775564,0.5873983739837398,0.3566371681415929,0.5438202247191011,0.23893805309734514,0.05872805075992327,0.07384823848238482
2021,1610612740,6947,1292,1292.0,855.0,1032,317,347.0,224.0,203,435,126,0.18597955952209586,0.6617647058823529,0.3071705426356589,0.6455331412103746,0.19670542635658914,0.06261695695983878,0.09752321981424149
2021,1610612741,7037,1610,1610.0,1004.0,1081,386,420.0,268.0,273,475,134,0.22879067784567286,0.6236024844720497,0.35707678075855687,0.638095238095238,0.25254394079555964,0.0675003552650277,0.08322981366459627
2021,1610612742,6814,1249,1249.0,809.0,1105,399,435.0,284.0,273,425,141,0.18329909010859993,0.6477181745396317,0.3610859728506787,0.6528735632183909,0.24705882352941178,0.06237158790724978,0.11289031224979984
2021,1610612743,6985,1268,1268.0,876.0,1083,352,389.0,239.0,252,462,133,0.18153185397279886,0.6908517350157729,0.3250230840258541,0.6143958868894601,0.23268698060941828,0.06614173228346457,0.10488958990536278
2021,1610612744,7062,1011,1011.0,652.0,1135,348,375.0,234.0,248,479,119,0.143160577740017,0.6449060336300693,0.3066079295154185,0.624,0.2185022026431718,0.06782781081846502,0.11770524233432245
2021,1610612745,7109,1497,1497.0,996.0,1188,429,475.0,320.0,314,476,157,0.21057814038542694,0.6653306613226453,0.3611111111111111,0.6736842105263158,0.26430976430976433,0.06695737797158531,0.10487641950567803
2021,1610612746,6927,1343,1343.0,799.0,1213,471,520.0,309.0,340,369,128,0.1938790241085607,0.5949367088607594,0.3882934872217642,0.5942307692307692,0.2802967848309975,0.05326981377219576,0.0953090096798213
2021,1610612747,7098,1521,1522.0,1012.0,1199,399,443.0,273.0,287,467,151,0.21428571428571427,0.6649145860709592,0.3327773144286906,0.6162528216704289,0.23936613844870724,0.06579318117779656,0.09921156373193167
2021,1610612748,6787,1113,1113.0,712.0,1084,335,360.0,230.0,229,412,155,0.1639899808457345,0.6397124887690926,0.30904059040590404,0.6388888888888888,0.21125461254612546,0.06070428760866362,0.13926325247079965
2021,1610612749,7135,1155,1155.0,753.0,1099,372,411.0,254.0,257,406,127,0.1618780658724597,0.6519480519480519,0.33848953594176523,0.6180048661800487,0.2338489535941765,0.05690259285213735,0.10995670995670996
2021,1610612750,7109,1275,1275.0,840.0,1237,418,462.0,280.0,300,518,115,0.17935011956674637,0.6588235294117647,0.3379143088116411,0.6060606060606061,0.2425222312045271,0.0728653819102546,0.09019607843137255
2021,1610612751,6955,1321,1321.0,828.0,1234,445,498.0,280.0,321,464,151,0.1899352983465133,0.6267978803936411,0.3606158833063209,0.5622489959839357,0.260129659643436,0.06671459381739756,0.11430734292202877
2021,1610612752,6867,1322,1322.0,799.0,1099,365,403.0,237.0,239,442,147,0.19251492645988058,0.6043872919818457,0.3321201091901729,0.5880893300248139,0.21747042766151045,0.06436580748507353,0.11119515885022693
2021,1610612753,6957,1219,1219.0,767.0,1149,366,395.0,228.0,271,430,132,0.17521920367974703,0.6292042657916325,0.3185378590078329,0.5772151898734177,0.23585726718885988,0.06180825068276556,0.10828547990155865
2021,1610612754,7019,1463,1463.0,938.0,1102,409,443.0,292.0,268,460,127,0.20843424989314718,0.6411483253588517,0.37114337568058076,0.6591422121896162,0.24319419237749546,0.06553640119675168,0.08680792891319207
2021,1610612755,6802,1280,1280.0,824.0,1161,416,449.0,272.0,284,474,116,0.1881799470743899,0.64375,0.35831180017226527,0.6057906458797327,0.2446167097329888,0.069685386650985,0.090625
2021,1610612756,7097,1063,1063.0,671.0,1186,347,381.0,228.0,268,465,99,0.14978159785824996,0.6312323612417686,0.2925801011804384,0.5984251968503937,0.22596964586846544,0.06552064252501057,0.09313264346190028
2021,1610612757,6973,1429,1429.0,950.0,1120,386,417.0,268.0,246,459,164,0.20493331421196043,0.6648005598320503,0.34464285714285714,0.6426858513189448,0.21964285714285714,0.06582532625842535,0.11476557032890133
2021,1610612758,7079,1449,1449.0,940.0,1182,404,440.0,285.0,255,433,127,0.20468992795592597,0.6487232574189096,0.34179357021996615,0.6477272727272727,0.21573604060913706,0.061166831473371944,0.08764665286404417
2021,1610612759,7157,1566,1566.0,968.0,1226,444,487.0,292.0,309,435,135,0.21880676261003212,0.6181353767560664,0.3621533442088091,0.5995893223819302,0.25203915171288743,0.06077965628056448,0.08620689655172414
2021,1610612760,7015,1072,1072.0,680.0,1166,397,439.0,266.0,286,463,111,0.15281539558089807,0.6343283582089553,0.3404802744425386,0.6059225512528473,0.24528301886792453,0.06600142551674983,0.10354477611940298
2021,1610612761,6885,1252,1252.0,797.0,1136,374,401.0,261.0,257,438,131,0.18184458968772693,0.6365814696485623,0.32922535211267606,0.6508728179551122,0.2262323943661972,0.0636165577342048,0.10463258785942492
2021,1610612762,6931,1159,1159.0,739.0,1144,347,370.0,239.0,230,366,123,0.1672197374116289,0.637618636755824,0.30332167832167833,0.6459459459459459,0.20104895104895104,0.052806232866830186,0.10612597066436583
2021,1610612763,7104,1424,1424.0,841.0,1163,387,424.0,262.0,274,463,137,0.20045045045045046,0.5905898876404494,0.33276010318142735,0.6179245283018868,0.235597592433362,0.06517454954954954,0.09620786516853932
2021,1610612764,6956,1204,1204.0,819.0,1099,360,393.0,246.0,221,482,139,0.1730879815986199,0.6802325581395349,0.3275705186533212,0.6259541984732825,0.2010919017288444,0.06929269695227142,0.11544850498338871
2021,1610612765,6972,1453,1453.0,936.0,1179,376,420.0,238.0,238,502,149,0.20840504876649454,0.6441844459738472,0.3189143341815098,0.5666666666666667,0.2018659881255301,0.07200229489386116,0.10254645560908465
2021,1610612766,7111,1382,1382.0,884.0,1245,442,501.0,293.0,295,416,134,0.1943467866685417,0.6396526772793053,0.3550200803212851,0.5848303393213573,0.23694779116465864,0.05850091407678245,0.09696092619392185
2022,1610612737,7134,1585,1586.0,1012.0,1167,422,458.0,293.0,293,504,141,0.22217549761704514,0.6380832282471627,0.3616109682947729,0.6397379912663755,0.25107112253641817,0.07064760302775441,0.08890290037831021
2022,1610612738,7072,1146,1146.0,739.0,1084,338,371.0,229.0,245,465,130,0.1620475113122172,0.6448516579406631,0.3118081180811808,0.6172506738544474,0.22601476014760147,0.06575226244343892,0.11343804537521815
2022,1610612739,6768,1335,1335.0,817.0,1124,385,429.0,242.0,267,448,125,0.1972517730496454,0.6119850187265917,0.34252669039145905,0.5641025641025641,0.23754448398576514,0.06619385342789598,0.09363295880149813
2022,1610612740,6945,1230,1230.0,865.0,1111,376,405.0,266.0,252,505,161,0.1771058315334773,0.7032520325203252,0.3384338433843384,0.6567901234567901,0.22682268226822683,0.07271418286537078,0.13089430894308943
